timestamp,​0x8E1A0AffDEb0B6e4B6BDbda5f76328254D17A588,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x97deC872013f6B5fB443861090ad931542878126,Other
1583036689000,0.45,,0.26,,,0.00
1584566455000,,0.11,,,,
1585969610000,,,,,0.04,
1588371539000,,0.13,,,,
1590517845000,,,,0.20,,
