timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x12755B769cBa38b178111213B104761f872b8230,Other
1568669970000,,,0.00
1568871705000,,0.10,
1568939678000,,30.11,
1569006694000,,24.03,
1569480328000,,8.01,
1569751196000,,10.00,
1579320115000,,,0.00
1581574720000,,,0.00
1584970249000,,1.20,
1587300847000,0.51,0.51,
