timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1607708371000,,,2.05,
1607774843000,1.34,,1.33,
1607840923000,,,0.21,
1607907786000,,,1.02,
1607973990000,,,0.36,
1608039974000,,0.15,0.27,
1608106809000,,,0.24,
1608172715000,,,1.05,
1608305426000,,0.10,1.02,
