timestamp,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xce6a65649367a0e5Cb01ecA76169de502700D26c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x9b21FFE032055f5e8B25de47d2b590020014262b,​0x8791f37cD18f22298d2d55F3F841D94a4C11F062,​0xbBA9d567cDA89d35e4e69d7ce9Ea0EbaCF2C1B29,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x939BE8a13D987ba2Ad6D071A10ed7c336DEa541a,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0xe66274d856DF06c3aD21B66976Af7e83C40b106b,​0xE23b713BF714E0EA9A319A54a8c3eB0f6687346E,​0x97deC872013f6B5fB443861090ad931542878126,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,Other
1544405011000,,,,,,,,,,,1.25,,,,,,,,,,,,,
1544475718000,,,,,,,,,,,0.75,,,,,,,,,,,,,
1544689901000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1544903281000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1544974705000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545047794000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545268401000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545415730000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545489450000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545562634000,,,,,,,,,,,0.75,,,,,,,,,,,,,
1545636119000,,,,,,,,,,,1.50,,,,,,,,,,,,,
1545781311000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545853370000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1545927395000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1546073485000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1546292150000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1546438572000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1546513937000,,,,,,,,,,,0.75,,,,,,,,,,,,,
1546591053000,,,,,,,,,,,2.50,,,,,,,,,,,,,
1546669576000,,,,,,,,,,,0.50,,,,,,,,,,,,,
1546745738000,,,,,,,,,,,0.50,,,,,,,,,,,,,
1546823093000,,,,,,,,,,,0.51,,,,,,,,,,,,,
1546899613000,,,,,,,,,,,0.50,,,,,,,,,,,,,
1547055036000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1547210059000,,,,,,,,,,,0.50,,,,,,,,,,,,,
1547287230000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1547364620000,,,,,,,,,,,1.75,,,,,,,,,,,,,
1547441816000,,,,,,,,,,,1.25,,,,,,,,,,,,,
1547595530000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1547751054000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1547904215000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1547981162000,,,,,,,,,,,0.75,,,,,,,,,,,,,
1548061637000,,,,,,,,,,,0.50,,,,,,,,,,,,,
1548146240000,,,,,,,,,,,3.00,,,,,,,,,,,,,
1548232784000,,,,,,,,,,,10.30,,,,,,,,,,,,,
1548317720000,,,,,,,,,,,1.95,,,,,,,,,,,,,
1548402864000,,,,,,,,,,,0.55,,,,,,,,,,,,,
1548487485000,,,,,,,,,,,0.40,,,,,,,,,,,,,
1548573526000,,,,,,,,,,,1.05,,,,,,,,,,,,,
1548660153000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1548748418000,,,,,,,,,,,0.96,,,,,,,,,,,,,
1548837025000,,,,,,,,,,,0.90,,,,,,,,,,,,,
1548924193000,,,,,,,,,,,0.35,,,,,,,,,,,,,
1549101725000,,,,,,,,,,,0.30,,,,,,,,,,,,,
1549189411000,,,,,,,,,,,0.60,,,,,,,,,,,,,
1549364548000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1549717506000,,,,,,,,,,,0.30,,,,,,,,,,,,,
1549810793000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1550015706000,,,,,,,,,,,0.60,,,,,,,,,,,,,
1550223641000,,,,,,,,,,,0.35,,,,,,,,,,,,,
1550429585000,,,,,,,,,,,0.40,,,,,,,,,,,,,
1550532875000,,,,,,,,,,,0.85,,,,,,,,,,,,,
1550633598000,,,,,,,,,,,1.60,,,,,,,,,,,,,
1550735511000,,,,,,,,,,,0.30,,,,,,,,,,,,,
1550937834000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1551038450000,,,,,,,,,,,0.95,,,,,,,,,,,,,
1551140412000,,,,,,,,,,0.56,0.85,,,,,,,,,,,,,
1551242071000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1551431102000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1551635562000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1551703372000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1551838168000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1552039745000,,,,,0.48,,,,,,0.35,,,,,,,,,,,,,
1552108151000,,,,,,,,,,0.28,0.65,,,,,,,,,,,,,
1552175208000,,,,,,,,,,,0.40,,,,,,,,,,,,,
1552241652000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1552309136000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1552443118000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1553317511000,,,,,,0.19,,,,,,,,,,,,,,,,,,
1553384962000,,,,,,,,,,,,,,,,,,,0.20,,,,,
1553452320000,,,,,,,,,,,,,,,,,,,,,,,0.27,
1553586275000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1553721327000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1553789263000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1553856960000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1553992486000,,,,,,,,,,,0.40,,,,,,,,,,,,,
1554060309000,,,,,,,,,,,0.30,,,,,,,,,,,,,
1554127394000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1554195576000,,,,,,0.42,,,,,0.75,0.15,,,,,,,,,,,,
1554262735000,,,,,,,,,,,0.60,,,,,,,,,,,,,
1554331280000,,,,,,,,,,,0.30,,,,,,,,,,,,,
1554398543000,,,,,,,,,,,0.35,,,,,,,,,,,,,
1554466199000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1554599495000,,,0.17,,,,,,,,0.40,,,,,,,,,,,,,
1554666574000,,,0.18,,,,,,,,0.15,,,,,,,,,,,,,
1554733845000,,,0.37,,,,,,,,0.15,,,,,,,,,,,,,
1554800647000,,,0.18,,,,,,,,0.15,,,,,,,,,,,,,
1554867921000,,,0.10,,,,,,,,,,,,,,,,,,,,,
1554934968000,,,0.11,,,,,,,,0.75,,,,,,,,,,,,,
1555002718000,,,,,,,,,,,0.15,,,,,,,0.54,,,,,,
1555136518000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1555203091000,,,,,,,,,,,1.15,,,,,,,,,,,,,
1555270669000,,,,,,,,,,,1.65,,,,,,,,,,,,,
1555337473000,,,,,,,,,,,0.75,,,,,0.42,,,,,,,,
1555405471000,,,,,,,,0.15,,,,,,,,0.31,,,,,,,,
1555472795000,,,,,,,,,,,0.35,,,,,0.44,,,,,,,,
1555539993000,,,,,,,,,,,0.15,,,,,0.13,,,,,,,,
1555608237000,,,,,,,,,,,0.35,,,,,0.11,,,,,,,,
1555674728000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1555809867000,,,,,,,,,,,0.40,,,,,,,,,,,,,
1555876621000,,,,,,0.28,,,,,0.60,,,,,,,,,,,,,
1556011928000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1556147660000,,,,,,,,,,,0.26,,,,,,,,,,,,,
1556214175000,,,,,,0.17,,,,,,,,,,,,,,,,,,
1556281668000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1556415030000,,,,,,,,,,,0.15,,,,,0.15,,,,,,,,
1556482542000,,,,,,,,,,,,,,,,0.13,,,,,,,,
1556684172000,,,,,,,,,,,0.55,,,,,,,,,,,,,
1556750704000,,,,,,0.24,,,,,,,,,,,,,,,,,,
1556818035000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1557019302000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1557291012000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1557358549000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1557494292000,,,,,,,,,,,0.15,,,,,0.11,,,,,,,,
1557561044000,,,,,,,,,,,,,,,,0.32,,,,,,,,
1557628854000,,,,,,0.36,,,,,0.30,,,,,,,,,,,,,
1557695794000,,,,,,,,,,,0.35,,,,,0.28,,,,,,,,
1557897304000,,,,,,,,,,,,,,,,0.25,,,,,,,,
1557964138000,,,,,,,,,,,,,,,,0.11,,,,,,,,
1558032652000,,,,,,,,,,,0.20,,,,,,,,,,,,,
1558234852000,,,,,,,,,,,0.10,,,,,,,,,,,,,
1558301987000,,,,,,,,,,,,,,,,0.11,,,,,,,,
1558370897000,,,,,,,,,,,,,,,,0.07,,,,,,,,
1558641898000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1558842948000,,,,,,,,,,,,,,0.07,,,,,,,,,,
1558977860000,,,,,,,,,,,0.25,,,0.27,,,,,,,,,,
1559045953000,,,,,,,,,,,,,,,,0.10,,,,,,,,
1559517685000,,,,,,,0.24,,0.42,,,,,0.44,,,,,,,,,,
1559586560000,,,,,,,0.96,,,,0.95,,,0.98,,,,,,,0.12,,,
