timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x51C05351231d66f9Fe1E808239C97dC383215893,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x17C8D770fc717D1368903071FEe0Fcb5b80bd827,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1600986137000,1.62,,,,,
1601053079000,11.83,1.08,0.50,,,
1601120014000,4.13,0.74,3.00,,,
1601187908000,2.66,,,,,
1601255204000,,,,,0.38,
1601323528000,2.47,,,,,
1601390741000,0.56,,,,,
1601459154000,2.28,,,,0.28,
1601525869000,1.45,0.60,,,,
1601592730000,0.40,,,,,
1601660827000,1.10,0.31,,,,
1601728631000,0.27,,,,,
1601931072000,0.17,,,,,
1601998104000,0.05,,,0.12,,
1602337276000,0.31,,,,,
1602469107000,0.11,,,,,
