timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,Other
1607176193000,0.68,,,
1607375492000,,,1.95,
1607508150000,1.48,,,
1607573702000,1.21,,,
1607640980000,3.07,,,
1607708371000,0.26,,,
1607840923000,,0.70,,
1607907786000,,0.82,,
1608039974000,0.49,,,
1608106809000,0.61,,,
1608172715000,2.76,,,
1608239436000,,0.61,,
1608437899000,,0.72,,
1608504061000,0.49,,,
1608636545000,0.44,,,
1608768583000,1.62,,,
1608835449000,1.78,,,
1608902154000,9.03,,,
1608968406000,1.30,,1.00,
1609034138000,1.42,,,
1609100774000,1.01,,0.51,
1609165810000,0.31,,,
1609232681000,0.99,,,
1609300140000,0.81,,,
1609431762000,0.43,,0.06,
1609498801000,0.65,0.02,,0.00
