timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x70d8d4a0e1676301096E3B514eE500a6bb223409,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1584766483000,0.00,,,,,,,
1584970249000,0.01,,,,,,,
1585036977000,4.69,,,0.30,2.12,0.11,,0.00
1585105600000,0.21,,,0.30,1.00,,,
1585173391000,0.26,,,,0.26,0.02,0.02,0.01
1585239172000,2.24,,,0.29,,,,
1585306138000,1.11,,0.02,,,0.06,,0.00
1585372283000,2.41,0.21,,0.19,,,,
1585438491000,0.21,,,,,,,
1585504149000,0.26,,,,,,,
1585571105000,0.15,,,,,,,
