timestamp,​0xa4bd698764DC45e114B40A907B8c0a4b1C57455A,​0xE4569A42140eeB4Ff9c31fEa691Fce2b6f974481,​0xB379Db134FAC891D11B1942fE29df1978D84FC83,​0x76f6d6eB2D0DAd8D55a588c44440A5A9323b46C0,​0xae391eb86b991b6f6985D71c2d3B0227907268cA,​0xf3791D2C4F4CB9089CB995829040162340044DB4,​0x5f1088110EdcBa27Fc206cdcc326B413b5867361,​0xdf82CfA9230b5009Bd7FA2F242b2894Cd673d1D0,​0x9627823b76DECF20A2f422F53d765565E40F1E1D,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xd2eb7F5d66896C071293dD6f84c2a5d245daA9b6,​0xC08192D450d44187e668c774f9a44c0f2953849C,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x86dA5d1a739da088aC92312AF5A721Ce506F5404,​0x402BC3A4E7EBe66fD1b43C06E468E40d9cE48dA1,​0xf86b6d7C82597de4441C4D3dF218824672990fc9,​0x23Dd090e029F81fb1f2662bc50dF8927299935E5,​0x2B11748284e7953dD0810D4Bf697db8C90347A1d,Other
1583966404000,,,,,,,0.03,,,,,0.02,0.05,,,,,,
1584033400000,,,,,,,,,,,,0.01,,,,,,,
1584234522000,,,,,,,,,,,,0.00,,,,,,,
1584300469000,,,,,,,,,,,,0.06,,,,,,,
1584367227000,,,,,,,,,,,,0.04,,,,,,,
1584434720000,,,,,,,,,,,,0.00,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,0.00,
1584766483000,,,,,,,,,,,,0.02,,,,,,,
1584970249000,,,,,,,,,,,,0.05,,,,,,,0.00
1585306138000,,,,,,0.01,,,,,,0.00,,,,,,,
1585372283000,,,,,,,,,,,,0.07,,,,,,,
1585438491000,,,,,,0.04,,,,,,0.04,,,,,,,
1585504149000,,,,,,0.07,,,,,,0.03,,,,,,0.01,
1585571105000,,,,,,,,,,,,0.04,,,,,,,
1585704243000,,,,,,,,,,,,,,,,,,0.05,
1585770840000,,,,,,,,,,,,0.12,,,,,,,
1585836257000,,,,,,,,,,,,0.08,,,,,,,
1586036191000,,,,,,0.08,,,,,,,,,0.02,,,,
1586169028000,,,,,,,0.01,,,,,0.04,,,,,,,
1586236183000,,0.29,,,,,,,,,,,,,,,,0.00,
1586301955000,,,,,,0.07,,,,,,,,,,,,,
1586368858000,,,0.18,,,,,,,,,,,,0.01,,,,
1586434964000,,,,,,,,,,,,0.11,,,,,,0.07,
1586501245000,,0.01,,0.25,,,,,,,,,,,,,,,
1586568529000,,0.13,,0.25,0.19,,,,,,,,,,,,,,
1586635021000,,0.06,,,,,,,,,,0.07,,,,,,,
1586701369000,,,0.74,1.20,,,0.08,0.16,,0.03,0.10,0.11,,0.04,,,,0.03,
1586767741000,,,,,,,0.07,,,,,,,,,,,,
1586833705000,,0.04,,0.15,,,,,,,,0.12,,,,,,,
1586900049000,,,0.17,0.25,0.35,,,,0.08,,,,,,,,,,
1586966921000,,0.15,0.18,0.40,,,,,,,,0.08,,,,,,,
1587033174000,,,,,,,,,0.04,,,0.07,,,,,,,
1587099968000,,,,0.05,,,0.07,,0.09,,,,,,,,,,
1587167698000,,,,0.20,,,0.06,,,,,,,,,,,,
1587234387000,,0.01,,,,,,,0.05,,,0.18,,,,,,,
1587300847000,,0.12,,0.65,,,0.33,,0.06,,,,,,0.01,,,,
1587368133000,,,0.22,0.20,,,,0.04,0.04,,,0.21,,,,0.05,,,
1587434258000,,,,,,,,,0.04,,,,,,,,,,
1587501138000,,,0.25,,,,,,0.05,,,,,,,,,,
1587568237000,,0.12,,,,,,,,,0.10,,,,,,,,
1587634602000,,,,0.30,,,0.29,,0.15,,,,,,,,,,
1587768625000,,,,,,,,0.06,,,,,,,,,,,
1587836062000,0.07,0.09,0.79,,,,,,,,,,,,0.00,,0.02,,
1587902337000,0.10,,,,,,,0.05,,,,,,,,,,,0.01
1587969951000,,,,,,,,0.04,,,,,,,,,0.00,,
1588036978000,,,,,,0.24,,,0.17,,,,,,,,,,
1588170340000,,,,,,,,,0.05,,,,,,0.01,,,,0.01
1588305064000,,,,0.30,,,,,0.07,,,,,,0.00,,,,0.00
1588371539000,,,,0.10,,,,,0.05,,,,,,,,0.01,,
1588438821000,,,,,,,,0.05,,,,,,,,,,,
1588506516000,,0.10,,,,,,,,,,,0.03,,,,0.00,,
1588572377000,,,,,,,,,0.07,,,,,,,,0.00,,
1588638430000,,,,,,,,0.07,,,,,,,,,,,
1588771981000,,0.24,,0.20,,,,,0.09,,,,,,0.00,,,,
1588839881000,,,,0.40,,,,,0.05,,,,,,,,0.00,,
1589241093000,,,,,,,,,,,,,,,,,0.01,,
1589442351000,,0.18,,,,,,,,,,,,,,,,,
1589644333000,,,,,,0.25,,,,,,,,,,,,,
1589778055000,,,,,,,,,,,,,,,,,0.01,,
1589845567000,,,,,,,,,0.36,,,,,,,,,,
1590047677000,,0.14,,,,,,,,,,,,,,,,,
1590248502000,,,,,,,0.05,,,,,,,,,,,,
1590316431000,,,,0.20,,,,,,,,,,,,,,,
