timestamp,​0x85F18C533900A4eE0e3e378aD27DcB395bc7cb3d,​0x50af627e6b8Fc889B0Ffd8812198E87c78330557,​0x5684752A2D71A625ACe90f823bF4cEc598eA21f2,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xDfF4E36859F93cc4DceA84713bE756Eb9770F358,​0xCE0c61aBF9866FEf5767e102Cf227F294b3459E5,​0xd6C0FBB40A479953bAeADf20EbEe12e80B896b47,Other
1576627001000,,,,,0.15,,,
1576799699000,,,0.18,,,,,0.00
1576886273000,,,1.40,,,,0.01,
1576971438000,,,,,,,0.07,
1578327837000,,,,,,,0.05,
1578393679000,,0.17,,,,,,
1578857025000,,,,0.77,,,,
1578989540000,,,,0.31,,,,
1579055596000,,2.19,,0.77,,,,
1579254375000,,,,0.48,,,,
1579320115000,,,,0.71,,,,0.00
1579518909000,0.19,,,0.74,,,,
1579584998000,,,,0.49,,,,
1579650516000,,,,0.27,,,,
1579717286000,,,,0.23,,,,
1579848954000,,,,0.05,,,,
1579915579000,,,,,,0.85,,
1580180893000,,,,0.11,,,,
