timestamp,​0x98ff10D4bC892975f23eDB0C618b3d0c6b39170F,​0x96693870AAf7608D5D41AE41d839becF781e22b0,​0x243D8474E5C0Ce6c336e52EA58adB5D12585cFed,​0x05e15f2B6e3BF8eF76d80F0398eB511c9C76f052,​0x99391C6F4d33DdaC56E0856Db4eF0013851031bD,​0xe0132AD62DC094599F08C912AB589169F0721E11,​0xd3f714357A3A5AB971941ca475a006814EDd0d2B,​0x4873242Fd2f0e7806A7AefC9971F0FE2709c789A,​0x910B48C25aFC5b2a998458B62d467D482ECA74AF,​0xbB637a937E864795cb00f6681661904836aC8a59,​0x248535910a53B798eD5961396A1B007275728319,​0xBdA2ca0611c2a952a4A25bfC175803912842c839,​0xC697BE0b5b82284391A878B226e2f9AfC6B94710,​0x0998160bdF3Ff6D86A4E9D5c31e0eFC3Ca7e7D01,​0x047396795B47FEE0BfAba5a0b6d330f70cBfAa49,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0xA0e5DbDBB996f62452C4183efDd44D5036FDE6D2,​0x4b27f089F2b7aFB9501e0BB11A1a11f17721D934,​0x0F818b9A4faaFC1491a16F1D2FA9d1E6Fa551980,​0xeC780f8d84F98fd79bBa4948Ad1663AB126E7565,​0xb8f9e33fE0a4a21E6e0F70d88d6904Fe8137A7FE,​0x93f5af632Ce523286e033f0510E9b3C9710F4489,​0xB78ee46e92CA0E0deeCdDFbBa7A03846197B2231,​0xFB2E7dC2B1dE780676c69D94d60AA5902433cc63,​0xEaE259C63CC882B68640aDE49E8ae15f9b606f93,​0xDE8fb7cDC11c61D38437f2C9737e4e9F9c4dbf6E,​0x16027fCA7230f8C5cD7dd8cf4a3AB6Ec61238C20,​0xA0d6a5972A3523c3b36bb83E1b36245b98bC7adf,​0x31e523f2feE6Ea62F6eb4B9b04BEb96027db27Ed,​0x1eBef03483030dd746c0BBa924E828Ce2C0534ea,​0x9d2773e66d41a28CAE8eBbdBB7d396Fe51Ae03De,​0x8f96353ADa2fd141913bA4DE86c2925188068d0d,​0x570Af957165DE2de810642628933Dc6299230261,​0xC8106623a6aF9947954Bc2C132008441D6B6Aaf3,​0x3C6DB56038F941583190209a5276EA2530185753,​0xBa9c5381903a38ff6686a0C39512b03DaC609107,​0x6d2c78BD603993E76D1449579660401cfC58E88e,​0xa7E3058e7C4eB1b18a4c18C69983daA8D724bd28,​0xBDd273A9FaC327359Fb24f461E04ab015949B229,​0xBE0fBaD7e2572935F24E19a06767cF50A6c7f5C5,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x04EeA222B3CC6F1F667915E952539eCa8468b3FE,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,Other
1593396882000,,,,,,,,0.10,,,,,,,0.10,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593464751000,0.19,2.13,1.16,0.43,0.50,1.00,1.07,,0.35,3.00,1.28,4.37,2.20,1.00,0.50,2.84,,0.10,4.09,1.36,1.00,0.50,2.05,0.39,1.01,1.61,2.67,0.84,,1.00,0.20,0.50,0.61,0.19,0.38,4.79,1.21,0.53,4.21,,0.11,0.50,0.17,
1593531858000,,,,,,,,,,,,0.50,,,,,,,,,,,0.62,,,,,,1.00,0.53,,,,,,,,,,0.72,0.04,,0.34,
