timestamp,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0xF5C7D9E5aa2b9B73e3B320D30Ef904c377754784,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x3F3e18aef051dC2b489CEf138BB9e224F78f7117,​0x80324Ec8d64425B37f8603A97097dA7D493dbc79,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,Other
1583168974000,,,,,,1.75,,,,,0.33
1583235956000,,,,,,1.75,,,,,0.27
1583302077000,,5.00,,,5.58,187.57,,,,,
1583368317000,,,,,,,,,,,0.06
1583435384000,,,,,,1.73,,,,,
1583502285000,,5.00,,68.10,5.47,275.97,,,,,0.10
1583567810000,,,,,,1.64,,,,,
1583699841000,,,,2.83,,5.45,,,,,0.10
1583767163000,,5.00,,,5.14,327.80,,,,,
1583833348000,,5.00,,,5.20,198.89,,,,,
1583966404000,,,,,,5.03,,,,,
1584234522000,,,,,,127.90,,,,,
1584300469000,,,,,,2.85,,,,,
1584500082000,,5.00,,,7.36,576.20,,,,,
1584566455000,,,,,,48.84,,,,,0.02
1584632903000,,,,,,64.07,,,,,
1584699859000,,,,,,61.30,,,,,
1584766483000,,,,,,,,,,,0.21
1584833664000,,,,,,36.03,,,,,0.23
1584902413000,,,,,,80.23,,,,,
1584970249000,,,,,,102.45,,,,,
1585105600000,,,,,,18.37,,,,,0.20
1585173391000,,,,,,14.23,,,,,
1585239172000,,,,,,,,,,,0.14
1585372283000,0.58,,,,,30.70,,,,,
1585438491000,,,,,,165.68,,,,,
1585504149000,,,,,,10.23,,,,,
1585704243000,,,,,,9.95,,,,,13.20
1585903293000,,,,,,,,,,,0.17
1585969610000,,,,,,22.65,,,,,0.17
1586036191000,,,,,,3.05,,,,,
1586169028000,,,,,,12.65,,,,,
1586236183000,,,,,,,,,,,0.19
1586301955000,,,,,5.00,81.17,,,,,
1586368858000,,,,,,7.00,,,,,0.19
1586434964000,,,,,5.03,0.03,,,,,0.03
1586501245000,,,,,,9.87,,,,,
1586635021000,,,,,,8.33,,,,,
1586767741000,,,,,,4.16,,,,,
1586900049000,,,,,,11.47,,,,,
1587099968000,6.81,,,,,70.94,,,,,
1587167698000,4.51,,,,,14.70,,,,,8.54
1587234387000,3.45,,,,,2.78,,,,,
1587300847000,,,,,,49.63,,,,,
1587368133000,,,,,,0.01,,,,,3.67
