timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x6F5256Bd895CdAc8C8C2Bc5a90DA1D8B93f3Dfd5,​0x538D81D67aF18fA7D8b072C0AD2Fb1Ce6Ab947Db,​0x323C319f3Df48E7513781e0A4BFFB931B1877263,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x75ac0e296D83B9d46EDC1161a32E5568A75389b1,​0xF69a175C2C07C4367c2311e4A5684c282123Ad53,Other
1573455245000,,,,0.25,,,,
1573527153000,0.46,,,0.53,,,,
1573598526000,,,0.38,,,,,
1573886613000,,0.06,,,,,,
1574030120000,0.41,,,,,,,
1579320115000,,,,,,,,0.00
1579848954000,,,,,0.00,,,
1580910496000,0.10,,,,,,,
1581574720000,,,,,,,,0.00
1581707956000,,,,,,0.03,,
1582240159000,,,,,,,0.02,
