timestamp,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x4788240AC4C8EC9BE3d96254667Bfb216884Dd0F,​0xBFeeE68c40e7Ffffa00Bf6b12739E85E1d5Db8D3,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x3452052E617ef316383FCda6396b4a6cEA2d3f05,​0x556e2Cd82Ebf8CEb1B2a09cAaaE21a398a7876F2,​0x6289071a919D25E5ae90754E851E6F8507108245,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xd55BDA1bF7F7157aD8FA3d416b351f28288F10Cb,​0x47653DE428Ff814CC2B78e7A4B569c1AeC4adD7c,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x533344cFdF2a3E911E2CF4c6f5ED08e791F5355f,​0x5A99c04a0a5c0Ed3B2Ad279401e056C25e5d3CFB,​0xb0153ACA2E1A162f5bE062c5854942daa062C7C7,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0xB30361cBBBb1D7C0114C625b8eE83EE0f2Ddb4Ea,Other
1581243665000,,,,,,,,,,,,,,,,,,,,0.00
1581441429000,,,,,,,0.04,,,,,,,,,,,,,
1583036689000,,,0.11,,0.08,,,,,,,,,,,,,,,0.01
1583235956000,,,,,,0.19,,0.15,,,,,,,,,,,,
1583302077000,,,0.08,,0.06,,0.03,0.02,,,,,,,,,,,,
1583368317000,,,,,,,,0.17,,0.23,,,,,0.03,0.04,,,,
1584100621000,,,,,,,,0.04,0.10,,,,,,,,,,,
1586169028000,,,,,,,,,,,,,,,,,,,0.01,
1586236183000,,,,,,,,,,,,,,,,,,0.03,,0.00
1587167698000,,,,,,,,,,,,,,0.00,,,,,,
1587768625000,,,,,,,,,,,,,,,,,,,0.00,
1588036978000,,,,1.02,,,,,,,,,0.00,,,,0.79,,,
1588104246000,0.04,,,0.24,,,,,,,,0.25,,,,,0.27,,,0.01
1588305064000,,,,,,,,,,,,0.03,,,,,,,0.02,
1588438821000,0.28,,,3.00,,,,,,,0.86,,,,,,2.49,,,
1588506516000,,,,,,,,,,,,,,,,,,,0.02,
1588572377000,,,,0.10,,,,,,,,,,,,,0.07,,,
1588705743000,,,,,,,,,,,,,,,,,,,,0.00
1588839881000,,,,0.14,,,,,,,,0.03,,,,,0.11,,,0.01
1588906152000,0.21,,,,,,,,,,,,,,,,,,,
1588972800000,,0.14,,0.19,,,,,,,,,,,,,,,,
1589241093000,0.14,,,,,,,,,,,,,0.41,,,0.26,,,
1589442351000,,,,0.48,,,,,,,0.35,,0.09,,,,0.03,,,
1589644333000,,,,,,,,,,,,,,,,,0.05,,,
