timestamp,​0x673796B6fBAe0B394BE1CC912333449a2859E26d,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1601660827000,0.50,0.61,
1601728631000,,3.60,
1601796104000,,1.43,
1601863935000,,2.07,
1601998104000,,0.18,
1602065856000,,1.47,
1602133843000,,0.61,
1602202095000,,0.26,
