timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,Other
1599263811000,2.28,0.84,
1599330041000,0.33,2.09,
1599395453000,13.81,1.43,
1599461746000,2.80,,
1599528172000,6.89,,0.01
1599594452000,0.98,,
1599727959000,3.13,,
1599859185000,1.33,,
1599925296000,1.23,,
1599991924000,0.96,,
1600057881000,4.96,0.77,
1600125024000,3.67,0.34,
