timestamp,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x7C4401aE98F12eF6de39aE24cf9fc51f80EBa16B,​0x78e67A515e66B5F1eE3a045e7572805af12289f2,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x0e88d68ddD2aE0465acC9552260569Bcf4C33685,​0x002F9CaF40a444f20813DA783D152bdfAF42852F,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x004865A4Dd457380d4dF8af52fe3063B4621D14D,​0xc366bBACdeebC699c9E89e3958adf8622e58F9F2,Other
1561342449000,,,,,,,0.09,,,,,,,,
1561747149000,,,,,,,,,0.12,,,,,,
1564302116000,,,0.00,,,,,,,,,,,,0.00
1564972688000,,,,,,,,,,,,,,,0.00
1566246801000,,,,,0.08,1.00,,,,,,,,,
1566717936000,,,,,0.21,,,,,3.00,,,,,0.00
1567054177000,,,,,,,,,,,,,,0.20,
1567928417000,,,,,,,,,,,,,,0.15,
1568669970000,,,,,,,,,,,,,,0.36,
1569885879000,,,,,,,,,,,,,,0.66,
1570156245000,,,,,,,,,,,,,,0.64,
1571579975000,,,,,,,,,,,,,,0.83,
1571920923000,,,,,,,,,0.10,,,,,,
1571990353000,0.05,,,,,2.00,,,,,,0.07,,,
1572615810000,0.06,0.15,,,,2.00,,,,,,0.07,,,
1572684939000,,0.33,,,,1.00,,,,,,,1.00,0.79,
1572822749000,,,,,,,,,,,,,,0.19,
1573171451000,,,,,,,,,,0.15,,,,,
1573455245000,,,,0.05,,,,,,,,,,,
1573598526000,,,0.15,0.72,,,,1.09,,,,,,0.19,
1575519604000,,,,,,,,,,,,,,,0.00
1575749392000,,,,,,,,,,,0.04,,,,
1576713534000,,,,,,,,,,,0.00,,,,
1577402327000,,,,,,,,,,,0.00,,,,
1577918935000,,,,,,,,,,,0.88,,,,
1579320115000,,,,,,,,,,,,,,,0.00
1579650516000,,,,,,,,,,,0.00,,,0.09,
1579717286000,,,,,,,,,,,,,,,0.00
1580313366000,,,,,,,,,,,0.01,,,,
1580711822000,,,,,,,,,,,0.00,,,,
1581043789000,,,,,,,,,,,,,,,0.02
1581508790000,,,,,,,,,,,,,,,0.00
1582306851000,,,,,,,,,,,,,,0.22,
1582904573000,,,,,,,,,,,,,,,0.01
1585836257000,,,,,,,,,,,,,,,0.00
1586635021000,,,,,,,,,,,0.02,,,,
