timestamp,​0x28595F15C04cf1f4cE978fC77A210DBC30E025Bb,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x5632Cf9a1b4ac936A3c6d3D66EB75c0344c61c2d,​0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xFc47Da77D3Dae0C9395516805E81cc7C689b21Bd,​0x0fAe3DAE72219E15a5330f4184832564C19378AA,​0xf623c8bc4c9b6279EbeC8777354052Cb028304B1,​0x8a85416d2F455D8974Bb91fFA1eD628099d4cFCD,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x97deC872013f6B5fB443861090ad931542878126,​0x1bcFE4f499DB23909a5DDc33D6E2D879531176EC,​0xAC360aFE163a9bA039BA9aa04a99d49c80f6A9C8,​0xa53A13A80D72A855481DE5211E7654fAbDFE3526,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0xB7Bd892B95fc2FaF5659404D9Aca1bfA164f0686,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x152Ac2bC1821C5C9ecA56D1F35D8b0D8b61187F5,​0x505846a0a89dd26fA5cD0677FD5406039c218620,Other
1585704243000,,,,,,,,,,,,,,,,0.03,,,,,,
1585770840000,,7.49,,,,,,,,,,,,,,14.59,,,,,,
1585836257000,,4.91,,,,,,,,,,0.45,,,,,,,,,,
1585903293000,,13.95,,,,,,,,,,,,,2.32,0.15,,,,,,0.01
1585969610000,,0.02,,,,,,,,,,,,,2.16,,,,,,,
1586036191000,,0.36,,,,,,,,,,0.14,,,,,,,,,,0.01
1586102872000,,2.32,,,,,,,,,,,,,,,,,,,,
1586169028000,,8.58,,,0.29,,,,,,,,,,,,,,,,,0.01
1586236183000,,2.39,0.23,,0.06,,,,,0.16,,2.82,,0.81,,0.73,1.00,,,,,0.06
1586301955000,,0.28,,,,,,,,,,,,1.33,,,,0.17,,,,0.10
1586368858000,,1.21,0.16,,,,,,,,,,,,,,,,,,,0.11
1586434964000,,1.17,0.15,,0.00,0.13,,,1.10,,,,,,,,,,,,,
1586501245000,,3.29,,,,,,,,,,1.05,,,,,,,,,,0.00
1586568529000,,4.59,,,,,,,1.07,,,,,,,,0.58,,,,,0.06
1586635021000,,1.44,,,,,,,,,,,,,,,,,,,,
1586701369000,,0.21,,,,,,,,,,,,,,,,,,,,0.02
1586767741000,,0.01,,,,,,,,,,0.55,,,,,,,,,,
1586833705000,,0.18,,,,,,,,,,,,,,,,,,0.53,,
1586900049000,,4.69,,,0.00,,,,,,0.22,,,,,,,,,,,
1586966921000,,0.42,,,,,,,,,,,0.54,,,,,,,,,0.00
1587033174000,,1.33,,,,,,,,,,,,,,0.60,,,,,,
1587099968000,,2.97,,0.35,,,,,,,,0.00,0.23,,,0.32,,,,,,0.00
1587167698000,,0.62,,,,,,,,,,,0.21,,,,,,,,,
1587234387000,1.21,0.78,,,,,,,,,,,0.22,,,,,,,,,0.02
1587300847000,,0.66,,,,,,,,,,,,,,,,,,,,
1587368133000,0.94,1.27,,,,,,1.62,,,,,0.11,,0.60,3.22,0.03,,,,,0.08
1587434258000,,0.24,,,,,,,,,,0.12,,,,,0.01,,,,,0.00
1587501138000,,0.07,,,,,,,,,,0.18,,,,,,,,,,
1587568237000,,0.90,,,,,,,,,,,,,,,,,,,0.29,
1587634602000,,0.18,,,,,,,,,,0.06,,,,0.13,,,0.36,,,0.01
1587701744000,,0.41,,,,,,,,,,0.00,,,,,,,,,,0.01
1587836062000,,,,,,,,,,,,,,,,,,,,,,0.04
1587969951000,,,,,,,,,,,,,,,,,,,,,,0.02
1588839881000,,0.00,,,,,,,,,,,,,,,,,,,,
1592794125000,,,,,,,0.12,,,,,,,,,,,,,,,
