timestamp,​0x09c298039E9BDd9F7B3f250Af1F39bBaEB2b5299,​0x42cEC1Efe742be293CDf8df2a89F48814Cf084ff,​0x314C94795b056942A0194237c5467E87b0119089,​0x22D1A32A0Be51F71702f8F64C56e51C7560B2F4C,​0x06B803716fEeB48BdB967f698BC8CD12e1196f39,​0x86C45C9bDC1448146F5e77D323222aCAef769EB3,​0x9CcdF736E965620f857E828E43D79D4b859a7160,​0x748044889b60230f7b27039893b6805A8686B286,​0x8dE12BCa6a79cAF05DeD82308F5B35eA9e230F17,​0x4FF7Fa493559c40aBd6D157a0bfC35Df68d8D0aC,​0x9DDbd612566873b5Db77fE50B022818Be16Ab9dF,​0x8C3dfFaB3Cc45FB09410dedFC23446dAb0A4B3b6,​0xfa1c022f5aa019077a480a710927ab56D6Eee640,​0x442DCCEe68425828C106A3662014B4F131e3BD9b,​0xDa779D22F2573CEaf9f97B0642749a32aC3428FE,​0xDc569cE2FC0Bb5F2f8c3C6Fb671259d8965e029C,​0xE236CED6f1B9EcAa48fACD363AA60A5373ce9Aa0,​0x33b08550A9DE04cC3C75d8Af9b43A8372916e0e7,​0xD257aBE07EB65230149e4Ad9994BB04D03A36FC4,​0x1c2581E734a8b35e4c5F3077b5c2271157De5B94,​0x1b3da5A7137d7563E9958E9942576ebC2089C97F,​0x231265b0B66033699e349cAF36a03d8B72B06F9d,​0x3318D7353D1Ec30a906F59b41540AbFd745211B6,Other
1576886273000,,,,,,,,,,,,,,,,,,,,,,,,0.02
1578393679000,,,,,,,,,,,,,,,,,,,,,,0.47,,
1578459841000,,,,,,,,,,,,,,,,,,,,,,0.83,,
1578592894000,,,,,,,,,,,,,,,,,,,,,,0.15,,
1578923015000,,,,,,,,,,,,,,,,,,,,,,0.15,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,0.33,,0.01
1579320115000,,,,,,0.15,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,,,,,,0.26,,0.14,,0.42,,,,,,,,,,,
1579717286000,,,,,,,,,,,0.15,,,,,,,,,,,,,
1579783170000,,,,,,,,0.52,,,,,,,,,,,,,,,,
1579848954000,,,,,,,,,,,0.25,,,,,,,,,,,,,
1579915579000,,,,,,,,,,,,,,,,,,,,,,0.27,,
1580380051000,,,,,,,,,0.28,,0.14,,,,,,,,,,,,,
1580446477000,,,,,,,,,0.26,,0.26,,,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,,,,,,,,0.14,,
1581177428000,,,,,,,,,,,0.27,,,,,,,,,,,,,
1581441429000,,,,,,,,,,,,,,,,,,,,,,0.13,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581707956000,,,,,,,0.13,,,,,,,,,,,,,,,,,
1581841298000,,,,0.55,,,,,,,,,0.10,,,,,,,,,,,
1581907086000,,,,,,,,,,,0.21,,,,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,,,,,0.12,,,,,,
1582040665000,,,,,,,,,,,,,,,,,,0.12,,,0.12,,,
1582306851000,,,,,,,,,,,,,,,,,0.25,,,,,,,
1582638796000,,,,,,,,,,,,,0.25,,,,0.22,,,,,,,
1582904573000,,,,,,,,,,,0.11,,,0.21,,,,,,,,,,
1583036689000,,,,,,,,,,,,,,,,,,,0.10,,,,,
1583103301000,,,,,,,,,,,,,,,,,,,,,,0.11,,
1583302077000,,,,,,,,,,,,,,,,,,,,,,0.12,,
1583368317000,,,,,,,,,,,,0.12,,,,,,,,,,0.12,,
1583699841000,,,,,,,,,,,,,,,,,,,,,,0.12,,
1583767163000,,,,,,,,,,,,,,,,,,,,,,0.12,,
1583833348000,,,,,,,,,,,,,,,0.39,,,,,,,,,
1584500082000,,1.24,0.16,,,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,0.82,,
1584766483000,,,,,,,,,,,,,,,,,,,,,,0.13,,
1584833664000,,,,,,,,,,,0.35,,,,,0.48,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,0.35,,,,,,0.11,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,0.51,,
1585504149000,,,,,,,,,,,0.24,,,,,0.75,,,,,,,,
1585571105000,,,,,,,,,,,,,,,,0.39,,,,,,0.51,,
1585637238000,,,,,,,,,,,,,,,,0.25,,,,,,0.25,,
1585704243000,,,,,,,,,,,,,,,,0.25,,,,,,0.25,,
1585770840000,,,,,,,,,,,,,,,,,,,,,,0.12,,
1585836257000,,,,,,,,,,,0.15,,,,,1.25,,,,,,1.43,0.70,
1585903293000,,,,,,,,,,,,,,,,0.51,,,,,,0.51,,
1585969610000,,,,,,,,,,0.13,,,,,,0.38,,,,,,0.26,,
1586036191000,,,,,,,0.12,,,,,,,,,0.12,,,,,,,,
1586236183000,0.12,,,,,,,,,,,,,,,0.12,,,,,,0.12,,
1586301955000,,,,,,,0.12,,,,0.11,,,,,0.23,,,,,,,,
1586368858000,,,,,0.11,,,,,,,,,,,0.11,,,,,,,,
1586434964000,,,,,,,,,,,,,,,,0.53,,,,0.43,,,,
1586501245000,,,,,,,,,,,0.11,,,,,0.34,,,,,,0.23,,
1586767741000,,,,,,,,,,0.11,,,,,,0.11,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,0.11,,,,,,0.11,,
