timestamp,​0x22d8432cc7aA4f8712a655fC4cdfB1baEC29FCA9,​0x3CA206264762Caf81a8F0A843bbB850987B41e16,​0x270d2924cA13F54632601647FB225DB8eb61fB49,​0x441195296266ca68cEDDa60a261BFcf05Ba8aB10,​0xbc8dAfeacA658Ae0857C80D8Aa6dE4D487577c63,​0xD1F55571cbB04139716a9a5076Aa69626B6df009,​0x7901BB5D22b623e18D10E02ca67e4F50D0A49a18,​0x1c4b97f5B142b72FAAcb4B496223eb33C361dda9,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x91D6E260A5965a3C33D5Bc4bf4ADCF96C449ED2e,​0x94cA273B9E9224dcE8a51cf243e8dB7eF0005f22,​0x48f3b8871c0da97c2db6ec35e0961fC269870d63,​0xcf6b8a78F5Ddf39312D98Aa138eA2a29E5Ad851f,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x1668c9725e27Bf5943bBD43886E1Fb5AFe75c46C,​0x11E4857Bb9993a50c685A79AFad4E6F65D518DDa,​0x4654F56a64301b9b582F843F97332D96Ead11FF8,​0xA582360DA4ae1fBb912C975fcce1A0C0e2af91e8,Other
1580910496000,0.14,0.24,0.46,,,1.05,0.22,0.13,0.29,,0.38,,0.27,0.33,,0.17,0.20,0.02,0.01
1580977343000,,,,,0.49,,,,,,,,,,,,,,
1581243665000,,,,,,,,,,,,,,0.16,,,,,
1581310184000,,,,,,,,,,,,1.03,,,0.47,,,,
1581441429000,,,,,,,,,,,,,,,0.55,,,,
1581574720000,,,,,,,,,,,,,,,,,,,0.00
1583368317000,,,,,,,,,,0.24,,,,,,,,,
1583567810000,,,,,,,,,,0.23,,,,,,,,,
1586833705000,,,,,,1.09,,,,,,,,,,,,,
1590316431000,,,,,,,,,,,0.28,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,0.00
1595338300000,,,,0.59,,,,,,,,,,,,,,,
