timestamp,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x0C87E21aB23Ffe885b7Cbea781B93Adf67F06dE8,​0xFC5DE15d1C5b69431E78f4f25B49C79Cd4276E3b,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x97deC872013f6B5fB443861090ad931542878126,​0x64EcbfB00f04BB97E5b5407b7B7b08f091043eCF,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,Other
1581508790000,,,,,,,,,,0.00
1581973926000,,0.61,,0.39,,,,,,
1583235956000,,,,,,0.09,,,,
1583368317000,,,,,,,,,,0.00
1585438491000,,,,,,,0.02,,,
1585504149000,,0.30,,,,,,,,
1585571105000,,,,,,,,,1.00,
1586236183000,,,,,,,,,0.68,
1586966921000,,,,,,,,,,0.00
1587300847000,,,,,,,,0.20,,
1587568237000,,0.32,,,,,,,,
1587768625000,,,,0.19,,,,,,
1589375621000,,,0.05,,,,,,,
1589711000000,0.34,,0.45,,,,,,,
1589778055000,,,0.06,,,,,,,
1589845567000,,0.16,,,,,,,,
1590383553000,0.40,,,,,,,,,
1590517845000,0.40,,,,,,,,,
1590719602000,,,,,,0.13,,,,
1590853669000,,,,,0.51,,,,,
1590919824000,,,,,0.04,,,,,
1591457899000,,,,,,,,,,0.00
1592727831000,0.30,,0.30,,,,,,,
1592794125000,,,0.02,,0.10,,,,,
1592927890000,,,,,0.10,,,,,
