timestamp,​0x016C8780e5ccB32E5CAA342a926794cE64d9C364,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x1B158330eb18839f50649F4Cb8f49954214866A3,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x97deC872013f6B5fB443861090ad931542878126,​0x22EF798f5aC4D5C2e114D310d19ea7f1Fb74b98d,​0x91D6E260A5965a3C33D5Bc4bf4ADCF96C449ED2e,​0x73FA9Df99faaa8D110c5AFd917355ebA0f993362,​0xaf4CB75d8bF396cBc4de1129083223458EeC5525,Other
1548487485000,,,,,,1.36,,,,
1548573526000,0.88,,,,,,,,,
1548837025000,,,,,,0.50,,,,
1551242071000,,,,,,,,,1.20,
1553250112000,,,,,,,0.02,,,
1553856960000,,,,0.32,,,,,,
1569412741000,,0.42,0.54,,,,,,,
1573958177000,,,,,,,0.78,,,
1574102523000,,,0.32,,,,,,,
1574319702000,,,,,0.46,,,,,
1576541361000,,,,,,,0.78,,,
1579320115000,,,,,,,,,,0.00
1579453251000,,,,,,,,0.78,,
1581508790000,,,,,,,,,,0.00
1591457899000,,,,,,,,,,0.00
