timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,Other
1606380252000,0.76,,
1606446290000,0.44,,
1606579323000,0.80,,
1606644580000,0.25,,
1606711814000,0.57,,
1606777403000,1.98,0.21,
1606843839000,0.46,,
1606976748000,0.22,,
1607043153000,0.22,,0.00
1607109266000,0.32,,
1607176193000,0.30,,
1607242529000,0.14,,
1607309267000,0.00,,
1607375492000,0.14,,
1607441996000,0.43,,
1607508150000,0.13,,
1607573702000,0.20,,
1607708371000,0.26,,
1607840923000,0.00,,
1607907786000,0.09,,
1607973990000,0.02,,
1608039974000,0.00,,
