timestamp,​0x94f939704e811d9E65Fc57D11C836C4809CD116c,​0xBf527bc1Afe7ea6266698988851055ac123EA4Bf,​0x2D5c570645F1D76526850994d10802C634A35969,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0xdee04f8831d9C02AA4Bc126D1b36A8328094A9Fc,​0xE80DB9fB130FeD2974c563f8fC231749B96Ca62C,​0x52498eF45C6773244825D816B12E770968d1B225,​0xFb219617Fd741a1df5292225Aad7269223e2f7b7,Other
1601053079000,,0.03,0.01,,0.02,,,,
1601120014000,,,,0.03,,,0.02,,
1601255204000,,,,,,0.01,,,
1601390741000,,,,,0.03,,,,
1601660827000,0.16,,,,,,,,
1601931072000,,,,,,,,0.04,
1602065856000,0.17,,,,,,,,
