timestamp,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x0D1Bee7a5Ae9e5aFA06EE014b4F899855b434F7e,​0xc7b3601CD694cd40333b791DAD0a4F10C4Cf0Bf5,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,Other
1587501138000,,,,,,,0.09,
1587568237000,,0.13,,,,,0.93,
1587634602000,,,,,,,0.04,
1587768625000,0.04,,1.74,0.27,,0.31,0.37,
1587836062000,0.21,0.22,,,0.02,0.30,0.18,
