timestamp,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0xd7c318E9F9129239F6bA4E10994137113dcF6244,​0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E,​0x3cC0CbA27033d1F25f075469ffd354aE3AE5896b,​0x8124b02b4967Bd7338a450420a572D574915Ff9C,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0x5A025804341ef30337bCAf5CA10182E968194916,​0xC119b808D64c8814Ea342f00844B04898DB41419,​0x44E9d011DF8741Be2493E99297E9ad67bb1aa85B,​0xE0bC000877Aa4ECb841a55d75812Fc6fFA2b632b,​0x2a1b9e47799F0Ab964BC8D85b38031498ce06e70,​0xFb219617Fd741a1df5292225Aad7269223e2f7b7,​0x7405Fe24003A50e4f4117D35E9b5a9f5E512fEdE,​0x2D5c570645F1D76526850994d10802C634A35969,Other
1596940389000,,,,,0.27,,,,,,,,0.28,,
1599661253000,,0.06,,,,,,,,,,,,,
1600257235000,,,,,,,,,0.27,,,,,,
1601053079000,,,0.62,,,0.30,,,,0.60,,,0.43,0.10,
1601120014000,0.20,,,,,,,0.02,,,,,,,
1601187908000,,,,1.24,,,0.32,,,,,,,,
1601255204000,,,1.19,,,0.53,,0.03,,,,,,,
1601323528000,,,,,,,1.04,,,,1.00,,,,
1601390741000,,,,,,,,,,,1.00,,,,
1601931072000,0.15,,,,,,,,,,,0.15,,,
