timestamp,​0x264c798666D75C0D9A27D5bed19aB10a678c709F,​0x37B2199f06Ce7C100bB2A4C45BFC0BD895Bd5c00,​0x91eA02976870D5A037a78c5ba3b8Bc4f3D9e4dA0,​0x84957E6c9F6cCfEd9C35C850c3903732Ed90858a,​0x8B709B40fE42eB31589Ad5B012Da7d6204B7402a,​0x27A2EbBc619E6755224C5b5490012F77667dEAEe,​0xd7c318E9F9129239F6bA4E10994137113dcF6244,Other
1596740019000,,0.11,,,0.33,,,
1597073639000,,,,,,0.06,,
1597740778000,0.44,,,0.21,,,0.42,
1597805915000,,,,,,,0.07,
1598204486000,,,0.21,,,,,
1598536356000,,,0.17,,,,,
