timestamp,​0x402BC3A4E7EBe66fD1b43C06E468E40d9cE48dA1,​0x8d18aBA20a139b0c2861c4fe1a5912B4e9C2F6D5,​0x9e80600df14E0DC5fc4C712703128394ECbCBe03,​0x7Fba4E9308b9f70b78f0Ee73386637168d645E66,​0x11999B2501df6DeD6a62C2E8939A3916001bE315,​0x092801D37f8C49DE9C726C61a7450BC2aa192CfC,​0x0000000094AcB89A43EAC2FBB3A07973Efc2435c,​0x7cEb4CB84d76AF7e5A6fE80937Dc5BF36790c116,​0xE469Ad736e5b4aa59C226A60dC474f8Aa3f05561,​0x36bed53B24f982ea2f4b231b3763Cf453401E50D,​0x39effa4557461bA7Db8C0a0641Fd727827a3B2a7,​0x8de4F1293a021105B095905dcadC98944c870BBc,​0xa0a1F3DbaEb30F81397087b3B44fa1AE91c5ED86,​0xD7fcf5B4feaCae6D5bf8574d000452aD871FA38B,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x472f4069E68E84e16b150E0ceeeBe5e48E78319c,​0x4Cb2bA475DdA9112B41ED8bb8B3ae1F71Eb89A17,​0xbd0B1aa70B7a2F4CDEbeBAFeB91477946B5FAAe1,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xf24A891e239fC23267A6EDFBb6133EA2dcCa0Fd5,​0x64137a2213C7e539De7e42d99230854a2A0b5Ad5,​0x38f864342a01623B6Ff24BD9be70DB0EA17f06dA,​0xc75F31C899Cb26C3680ab5A38E549023723fE98F,​0xBEE886bc924a77b42A44a796fA5685bB968ee940,Other
1568332434000,,,,,,,,,,,,0.00,0.07,,,,,,,,,,,,
1568467502000,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1568535532000,,,,,,,,,,,,,,,,,,,,,,0.02,,,
1568737700000,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1569953471000,,,,,0.09,,,,,,,,,,,,,,,,,,,,
1572476793000,,,,,,,,,,,,,,,,,0.05,,,,,,,,
1574248216000,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1575366165000,,,,,,,,,,,,,,,,,,,,,,,0.06,,
1575442393000,,,,,,,,,,,,,,,,0.01,0.06,,,,,,,,
1577918935000,0.04,,,,,,,,,,,,,,,,,,,,,,,,
1578063677000,,,,,,,,,,,,,,,,,0.05,,,,,,,,
1579982233000,,,,,,,,,,,,,,,0.04,,,,,,,,,,
1580247630000,,,,,,,,,,,,,,,0.03,,,,,,,,,,
1580778615000,,,,,,,,,,,,,,,0.02,,,,,,,,,,
1581441429000,,,,,,,,,,,,,,,,,,0.02,,,,,,,
1582240159000,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,0.04,,,,,,,,,,
1586368858000,,,,,,,,,,,,,,,,,,0.08,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,0.00,,,,,,,
1590113970000,,,,,,,,,,,,,,,,,,,0.32,,,,,,
1595202619000,,,,,,,,,,0.01,,,,,,,,,,,,,,,
1595672114000,,,0.01,,,,,,,,,,,,,,,,,,,,,,
1596207016000,,,,,,,,,,,,,,,,,,,,0.06,,,,,
1596740019000,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1599859185000,,,,0.18,,,,,,,,,,,,,,,,,,,,,
1604125251000,,,,,,,,0.04,,,,,,,,,,,,,,,,,
1605849265000,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1608504061000,,,,,,0.04,,,,,,,,,,,,,,,,,,,
1609100774000,,,,,,,0.29,,,,,,,,,,,,,,,,,,
1609763514000,,,,,,,,,0.23,,,,,,,,,,,,,,,0.06,
1610227531000,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1610293257000,,,,,,,,,,,0.03,,,,,,,,,,,,,,
1610491795000,,0.01,,,,,,,,,,,,0.06,,,,,,,,,,,
1611553245000,,0.01,,,,,,,,,,,,,,,,,,,,,,,
