timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x41B96e9c6758D12A7a1f67952466b2E104532604,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1600125024000,,,1.04,,
1600323285000,,,0.91,,
1600456406000,,,1.24,,
1600522839000,,,0.28,,
1600589122000,,,0.69,,
1600719844000,,,1.29,,
1600786926000,,,0.43,,
1600852525000,,,,0.43,
1600920149000,,,2.60,0.35,
1600986137000,,,1.06,,
1601053079000,,0.35,1.58,,
1601120014000,,,0.47,,
1601187908000,,,0.23,,
1601459154000,,,0.35,,
1601592730000,,,1.61,,
1601660827000,,0.50,0.69,,
1601931072000,,,0.35,,
1601998104000,,,0.09,,
1602065856000,,,0.14,,
1602202095000,,,0.09,,
1602337276000,0.37,,0.17,,
1602601229000,,,0.66,,
