timestamp,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x1876618062A3cddbd0400BE5358B9201bb048B51,​0xe35559f3E2Ad9d00e96b9539D8FD0340F2B8c4af,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0x894B2Af6D9480b1d0000a7F3812285fE1C2B406F,​0xF6962b0BC87869fec44020f7061252dC83857dd4,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x37cdD74cD3569136Edf211BE88D58906b95C5cB5,​0xdf22Ac5D9fEd8d8E67f7D0E0C255D772AEd55191,​0x6257ED6A605555C8D3aF8C06c7FF7CDCBfbdF546,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x2Bf5A5bA29E60682fC56B2Fcf9cE07Bef4F6196f,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x77D4B24547cf1905d3C479a2c5AaB0688D65A126,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0xA540fb50288cc31639305B1675c70763C334953b,​0x47653DE428Ff814CC2B78e7A4B569c1AeC4adD7c,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0xA72BB64b439414E3dA72Bf35694BC97B638fD7a5,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,Other
1547904215000,,,,,,,,,,,,,,,,,,,,,,,0.11,,,
1548402864000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1548924193000,,,,,,,,,,,,,,,,,,0.92,,,,,,,,
1549012454000,,,,,,,,,,,,,,,0.13,,,,,,,,,,,
1549101725000,,,,,,,,,,,,,,,,,,0.98,,,,,,,,
1550015706000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1550326685000,,,,,,,,,,,,,,,,,,0.66,,,,,,,,
1550532875000,,,,,,,,,,,,,,,,,,0.66,,,,,,,,
1550937834000,,,,,,,,,,,,,,,,,,0.52,,,,,,,,
1552039745000,,,,,,,,,,,,,,,,,,0.48,,,,,,,,
1552309136000,,,,,,,,,,,,,,,,,,0.89,,,,,,,,
1552443118000,,,,,,,,,,,,,,,,,,0.23,,,,,,,,
1553048481000,,,,,,,,,,,,,,,,,,0.57,,,,,,,,
1553115278000,,,,,,,,,,,,,,,,,,0.47,,,,,,,,
1553183074000,,,,,,,,,,,,0.10,,,,,,2.88,,0.16,,,,,,
1553250112000,,,,,,,,,,,,,,,,,,0.67,,,,,,,,
1553519035000,,,,,,,,,,,,,,,,,,5.33,,,,,,,,
1553586275000,,,,,,,,,,,,,,,0.19,,,0.48,,,,,,,,
1553654855000,,,,,,,,,,,,,,,0.02,,,0.46,,0.36,,,,,,
1553856960000,,,,,,,,,,,,,,,,,,1.01,,,,,,,,
1554331280000,,,,,,,,,,,,,,,,,,1.94,,,,,,,,
1554532618000,,,,,,,,,,,,,,,,,,0.55,,,,,,,,
