timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x40687F1e9ea1f9C0A4CDbdb60d49C3c03CC75608,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1613746375000,0.41,,2.26,3.11,
1613812701000,0.25,,,0.64,
1613880066000,,,,6.53,
1613945917000,,,,0.61,
1614012304000,,,,4.21,
1614079671000,,,,1.85,
1614144701000,,2.00,,13.21,
1614211964000,,,0.01,1.08,
