timestamp,​0xBE4AA0296B2B217d03DDFfF792675cfCa96A95B4,​0x859b1fDF23485f03eE54D3F942D5D05e1A6e9676,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x97deC872013f6B5fB443861090ad931542878126,​0xf1A7b8b3d6A69C30883b2a3fB023593d9bB4C81E,​0x7d7dF3ced1024B1995e073Ec5eb9dE0D14FF2316,​0x4AD16CE5b73fe1301f8d7068E8Db5c82D12af509,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0xc373DECd953eD7E4fd78f4c39AA41A44448Fb6f1,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x406cBFC2d391bEd42078138165465128b4E0CB06,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xD80c657be94976981CD1F3b329C19da63AcaD34E,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xa954e39EC3b49A0081e8738BfDEd4b09d9b8e885,​0xE5A69D694d0dF71a5EeA63432EE74f2c4465A56F,​0x44C51816D2B75CbD5cf63B2c8107E6f8D9a39529,Other
1578724741000,,,,,,,,,,0.00,,,,,,,,
1579188604000,,,,,,,,,,,,,0.16,,,,,
1579320115000,,,,,,,,,,,,,,,,,,0.00
1580645575000,,,,,,,,,,,,,0.07,,,,,
1581310184000,,,2.94,,,,,,,,,1.42,,,,,,0.00
1581375300000,,,,,,,,,,,,0.18,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,0.00
1582837876000,,,,0.43,,,,,,,,,,,,0.09,,0.01
1583435384000,,,,0.53,,,,0.58,,,,,,,,,,
1584033400000,,,,,,,,,,,,,,,,,,0.02
1584833664000,2.00,,,,,,,,,,,,,,,,,
1584902413000,,,,,,,,,,,,0.04,,,,,,
1585969610000,,,,,,,,,,,,,,,,,,0.01
1586036191000,,0.07,,,2.00,0.45,,,,,,,,,,,,
1586301955000,,,,,,,,,,,,0.05,,,,,,
1586368858000,,,,,,,,,,,,,,,,,,0.02
1586966921000,,,,,,,0.10,,0.05,,,,0.48,,,,,
1587033174000,,,,,,,,,,0.06,,,,,,,1.06,
1587167698000,,,,,,,,,,,1.21,,,,,,,
1587300847000,,,,,2.19,,0.11,,,,1.21,,,,,,,0.00
1587368133000,,,,,,,,,,,,,,,,,0.82,
1587434258000,,,,,,,,,,,,,,,,,,0.01
1587501138000,,,,,2.10,,,,,,,,,0.08,,,,
1587768625000,,,,,,,,,,,,,,,,,,0.02
1588839881000,,,,,,,,,,,,,,,,0.08,,
1589107927000,,,,,,,,,,,,,,,0.04,0.04,,
1589241093000,,,,,,,,,,,,,,,,0.01,,
1589375621000,,,,,,,,,,,,,,,,0.06,,
