timestamp,​0xcFB767d6796D6311d42e918E63163227Cd3F7ad1,​0x387182b91570E70d091e9A2078c02b326733869C,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x1D9e0Cd9aF234186870f05204098432329157cd3,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x749572A17718B4E8D6d25A5A8F169378E63b2E59,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xCbd73365452d2d076c1c37862ce014EA65532Fb3,​0x3aEC0d815D4D05b81ABA2dDdf9B38ff468F117AA,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x88616Cf228FFb3fB8ba336592A79A53De53D05eF,​0x65cDFa63A23e53Adbe31096d40c3aA33D195B6A2,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x97deC872013f6B5fB443861090ad931542878126,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x8c0267231607Db389466551f74504159495725Ae,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,Other
1579188604000,70.28,,,,,8.33,,,,42.98,,,,,,,,,,,2.31,
1579254375000,,,,,,,,,,10.66,,,,,,,,,,,,
1579320115000,,,,,,,,,,14.30,,,,,,,,,,,9.20,0.00
1579518909000,,,,,,,,,,4.00,,,,,,,,,,,1.20,
1579650516000,,,,,,,,,,,,,,,,,,,,,,0.10
1579717286000,,,,,,,,,,,20.00,,,,0.36,,,0.06,0.98,3.98,16.20,
1581574720000,,,,,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,,,,,,,,,,,,,,,,,,,0.04
1583368317000,,,,,,,,,,,,,,,,,,,,,,0.02
1583699841000,,,,,,,,,,,,,,,,,,,,,,0.02
1583767163000,,,,,,,,,,,,,,,,,,,,,,0.02
1583833348000,,,,,,,,,,,,,,,,,,,,,,0.02
1584168330000,,,,,,,,,,,,,,,,,,,,,,0.03
1584234522000,,,,,,,,,,,,,,,,,,,,,,0.01
1584300469000,,,,,,,,,,,,,,,,,,,,,,0.00
1584434720000,,,,,,,,,,,,,,,,,,,,,,0.00
1584632903000,,,,,,,,,,,,,,,,,,,,,,0.00
1584699859000,,,,,,,,,,,,,,,,,,,,,,0.02
1584902413000,,,,,,,,,,,,,,,,,,,,,,0.01
1585571105000,,,,,,,,,,,,,,,,,,,,,,0.01
1585704243000,,,,,,,,,,,,,,,,,,,,,,0.01
1585903293000,,,,,,,,,,,,,,,,,,,,,,0.02
1586635021000,,,,,,,,,,,,,,,0.12,,,,,,,0.16
1586701369000,,,,,,,,,,,,,,,,,,,,,,0.02
1587167698000,,,,,,,,,,,,,,,,,,,,,,0.00
1587234387000,,,,,,,,,,,,,,,,,,,,,,0.01
1587300847000,,,,,,,,,,,,,,,0.08,,,,,,,0.06
1587434258000,,,,,,,,,,,,,,,,,,,,,,0.03
1587701744000,,,,,,,,,,,,,,,,,,,,,,0.05
1588506516000,,,,,,,,,,,,,,,,,,,,,,0.18
1588572377000,,,,,,,,,,,,,,,,,,,,,,0.00
1588771981000,,,,,,,,,,,,,,,,,,,,,,0.02
1588839881000,,,,,,,2.42,,,,,,,,0.11,10.04,,,,,,0.18
1588906152000,,,,,,,1.93,,,,,,0.95,,,,,,,,,0.02
1588972800000,,,,,,,,,,,,,,,,,,,,,,0.03
1589040204000,,,,,,,,,,,,,,,,,,,,,,0.13
1589174391000,,,,,,,,,,,,,,,,,,,,,,0.01
1589241093000,,0.11,,,,,1.00,,,,,,,,,,,0.11,,,,
1589308656000,,0.32,,,,,,,,,,,,,,,,,,,,
1589375621000,,,,,,,,1.30,,,,,,0.73,,,1.05,,,,,
1589442351000,,,0.17,,,,,,,,,,,,,,,,,,,0.01
1589509055000,,,0.50,,,,,0.57,,,,,,,,,,,,,,
1589576701000,,,,2.00,,,,,,,,,,,,,,0.07,,,,0.03
1589711000000,,,,,,,,0.44,,,,,,,,,,0.74,,,,0.09
1589913105000,,,,,,,,,,,,,,,,,,,,,,0.01
1590248502000,,,,,,,,,,,,0.39,,,,,,,,,,
1590316431000,,,,,,,,,,,,,,,,,,,,,,0.00
1590517845000,,,,,,,,,,,,,,,,,,,,,,0.02
1590719602000,,,0.48,,,,,,,,,,,,,,,,,,,0.05
1590853669000,,,0.75,,,,,,,,,,,,,,,,,,,0.04
1591054955000,,,0.88,,0.76,,,,0.68,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,,,,,,,,0.76,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,0.08
1591658478000,,,,,,,,,,,,,,,,,,,,,,0.04
