timestamp,​0x11A97382A7914350480F8922DfC17cb9E2646208,​0x28f3A08E73D3356A3c93a1445c3d005Af65787F7,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0x2D5c570645F1D76526850994d10802C634A35969,​0x442747E725D0e1D1FE46c3635F8E01253b6D1eC7,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,​0xC3746825f13c07Dcd7e6fDb9C0c80A9aFFb18952,​0xdee04f8831d9C02AA4Bc126D1b36A8328094A9Fc,​0xe8D33722480712c945614048b4C4CbCd74C820a2,​0x7841bCF3FDa05ceA4B71616Dd86Dec0adE9F698A,​0xb7f78106935607d2003aC997894C8271173EBFeB,​0xdDBBBA36496DDbB1ED2Ad1121Dad1dF44DaB48C8,​0x94f939704e811d9E65Fc57D11C836C4809CD116c,​0xf4c52A6a9A187B7A4574D96EA5EfaC71837751D0,Other
1601053079000,,0.17,,0.60,0.10,0.46,0.70,0.47,0.02,0.12,2.00,,,,,
1601120014000,,,0.20,,,,,,0.06,,,0.06,0.02,,0.20,0.00
1601187908000,0.07,,,0.68,,,,,,,,,,,,
1601660827000,,,,,,,,,,,,,,0.15,,0.00
