timestamp,​0x24942f33eDC4c84Dd8526F695B6C3CBf48996ea0,​0x0cc8a5b61482253860f7C551232c0244004AF5aC,​0x4Ec6a271246e63A44fe7468b3c2821c1d7861E21,​0x97deC872013f6B5fB443861090ad931542878126,​0x63e62588330657c99BA79139e7C21aF0c0DB1E7e,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x17C8D770fc717D1368903071FEe0Fcb5b80bd827,Other
1603462512000,,,,0.39,,1.53,,
1603528247000,,,,,,0.41,,
1603594450000,,,,,,0.59,,
1603661160000,,,,0.48,,1.10,,
1603728251000,,,,,,0.19,,
1603793902000,,,0.36,,,5.09,0.57,
1603860005000,,,,,,0.92,,
1603925650000,,,,,0.12,1.65,,
1603992067000,,,,,,5.39,,
1604059142000,,0.41,,,1.40,7.59,,0.05
1604125251000,,,,,,3.63,,
1604191395000,,,,,,0.51,,
1604257692000,,,,,,0.51,,
1604324653000,,,,,,0.64,,
1604390633000,1.50,,,0.35,,4.53,,
1604457123000,,,,,,3.77,,
1604523521000,,,,1.30,,2.84,,
1604589935000,0.87,,,0.61,,3.58,,
1604655075000,,,,,,10.16,,
1604721624000,,,,1.01,,6.81,,0.08
1604788406000,,,,0.21,,6.97,,
1604855096000,,,,1.13,,2.90,,
1604921012000,,,,0.78,,0.83,,
