timestamp,​0x76C3B2695083ac2D1CA85920698Fd5C28c1bFE38,​0xB1A7Fe276cA916d8e7349Fa78ef805F64705331E,​0xFeDc84d0cd5FE6dB2B2f8aC31c7e31e49B665e5c,​0xa589FEE9a293790b2Ffa97CE168037D4534F4841,​0xA87aB61574a159EE2466ed44dAdcd7b9FB292eC1,​0x35EFa46f22e0fb34Cd8cb3DDF87149140D444b7c,​0x0e805d74Dd4a917bCBcFb5fd433168B5e145541A,​0xCeA7995AEE535123FEcd08945cD858802f43BFd7,​0x05cDe89cCfa0adA8C88D5A23caaa79Ef129E7883,​0x8B80BA7A569D44C0C7551EEEDC04164260f3F304,​0x863b89bDabA9E6B60C94bF216a62995b2d2aEBa0,​0x602f51DCbeDa58DC247fE73F1800D3e4fc2115bb,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x117A032231FD60B083fAB2B576AF84231B08F172,​0x7Cf92E7C43Ef39070aD92b6fc2635675f5B193C2,​0xbe4BA4b9B3dBE25a93820EEf90Fb4DA150380510,​0x1E0325E7661f8ef11A8Ca019118c96107E275043,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x5cDc4F8B2E8F9Dc4Ea31d0915fa454A552cBEcD1,​0x00F6F447F36A0B8BB34d1f1189480AaB1bD19d6a,​0x9A94Ac82B17E67F7dff81912de68EB74ca20E6C3,​0xE910c7a6970b61dAc034834Ca4c08B04329083EC,​0x7245644215677e578826E9602c1dF97de20acB79,Other
1576886273000,,,,,,,,,,,,,,,,0.10,,,,,,,0.06,0.00
1576971438000,,,0.24,,,,,,,0.01,,,,,,,,0.03,,,,,,
1577057861000,,,,,,,,,,,,,,,,,,,,0.38,0.07,,0.01,0.01
1577143907000,0.23,,,,,,0.12,,,,,0.26,,,,,,,,1.30,,,,0.01
1577229621000,,,,,,,,,,,,,,0.55,,,,0.04,,,,1.84,,
1577315631000,,,,,,,,,,,,,0.02,,,,,,,0.82,,,,
1577402327000,,,0.01,,,,,,,,,,,,,,,,,,,,,
1577573599000,,,,,,,,,,,,,,,,,,0.12,,,,,,
1577746179000,,,,,,,,,,,,,,,,,,,,,,0.43,,
1577918935000,0.06,,,,,,,,,,,,,,,,,,,,,,,
1578989540000,,,0.02,,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,0.02,,,,,,,,,,,,,,,,,,,,
1579122050000,,,0.01,,,,,,,,,,,,,,,,,,,0.13,,
1579188604000,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,0.00,,,,,,,,,,,,,,,
1579584998000,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,
1579717286000,,,,,,0.02,,,,,,,,,,,,,,,,,,
1579982233000,,,,,,,,,,,,,,,,,,,,,,0.12,,
1580049245000,,,0.00,,,0.03,,,,,,,,,,,,,,,,,,
1580180893000,,,,,,,,,0.01,,,,,,,,,,,,,,,
1580512997000,,,,,,,,,,,,,,,,,,,,,,0.13,,
1580645575000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1580910496000,,,,,,,,,0.12,,,,,,,,,,,,,0.98,,
1581177428000,,,,,,,,,,,,,,,,,,0.11,,,,,,
1581375300000,,,,,,,,,0.02,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,0.14,,,,,,,,,,,,,,,0.00
1581774043000,,,,,,,,0.03,,,,,,,,,,,,,,,,
1581907086000,,,,,,,,,0.01,,,,,,,,,,,,,,,
1582571821000,,,,,,,,,,,0.03,,,,,,,,,,,,,
1582638796000,,,,,,,,,,,,,,,0.01,,,,,,,,,
1583168974000,,,,,,,,,,,0.01,,,,,,,,,,,,,
1583235956000,,,,,,,,,,,0.02,,,,,,,,,,,,,
1583435384000,,,,,,,,,,,0.01,,,,,,,,,,,,,0.00
1583833348000,,,,,,,,,,,0.03,,,,,,,,,,,,,
1583966404000,,0.09,0.05,,,,,,,,,,,,,,,,,,,,,
1584168330000,,,,,,,,,0.10,,,,,,,,,,,,,,,
1585036977000,,,,,0.09,,,,,,,,,,,,,,,,,,,
1585571105000,,,,,,,,,,,,,,,,,,,0.01,,,,,
1586767741000,,,,,,,,,,,,,,,,,0.03,,,,,,,
