timestamp,​0xEC79575717a446608C7395ba7140083d03CDeE5c,​0x49c4f9bc14884f6210F28342ceD592A633801a8b,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x445E5f797fd7a939F9B4a593b7aD5BB79Ee046c8,​0x3d7b19C37d422B43c07C7Ba6353ED2D1689540FD,​0x85F18C533900A4eE0e3e378aD27DcB395bc7cb3d,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0xF913d32b77Da93C832Aa114604aa90308f5448a6,​0xBfed949505faC872018ee70aD521840E9C05a3Ff,​0x4bcAb4a2e4b17C0158BE756aEfa04F465B1b2310,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x97deC872013f6B5fB443861090ad931542878126,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xA65440C4CC83D70b44cF244a0da5373acA16a9cb,​0x01e176828454368f60898F04025DCe3BcFe76AB5,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x3591d261dA9Ca19D83DE5028D4Caa02f22aaf9Ee,​0x87d80DBD37E551F58680B4217b23aF6a752DA83F,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x916db62e2EB326Fb0D30c7a610EF189b5b083e86,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x9AfDE46508b8D659bB0FfcdFD769EC37f7199cFA,Other
1559991921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1560059515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1560127542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1560262359000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1560531936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1560802452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1560937524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1561208281000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1561611356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1563832155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1565039690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1565308246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1565843533000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1566920101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1567321929000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1569074199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1570223512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1570696365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574677937000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.00
1574982967000,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.03
1576132843000,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.02,,,,,,,
1576208669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
