timestamp,​0x56FBCED35085a1E318161039bb8D05De8711fF7C,​0xa833BdAf661f1fA0630CEeF891423Bb9A8D0dEb8,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x103B3a31c6732C8615161757c64d2C5Ed7DaAD38,​0x3E64e9eD807F2125f3af61F0Ce25fB5A41933a98,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,Other
1578261907000,,0.00,,,,,
1581375300000,,,0.05,,0.03,,
1581574720000,0.36,,,,,,0.00
1582173039000,,,,,,0.29,
1582439543000,,,,0.05,,,
