timestamp,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1601120014000,0.33,,0.15,
1601187908000,,,0.59,
1601255204000,,,0.70,
1601390741000,,,0.34,
1601459154000,,,0.44,
1601525869000,,,0.80,
1601998104000,,,0.62,
1602202095000,,,0.23,
1602270387000,,,0.07,
1602535471000,,0.02,,
