timestamp,​0x3090dAB933F20c6472213ED109420Ce0095539AC,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,​0xd0A8b9B78eEB93f932a4dCc9b9bcdC83A9255B31,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1610691633000,,,,,1.52,
1610756963000,0.92,,,,3.97,
1610823692000,,,,,1.83,
1610956120000,,,0.08,,0.22,
1611023041000,,,0.08,,0.42,
1611089195000,,,,,1.08,
1611155239000,,,,,1.06,
1611221796000,,,,,0.70,
1611287519000,,3.20,,,5.70,
1611354273000,,,,,2.44,
1611420746000,,,,,0.47,
1611553245000,,,,,0.96,
1611619442000,,,,,0.96,
1611685824000,,,,0.43,0.20,
