timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x099ebCc539828fF4Ced12C0Eb3B4b2Ece558FdB5,Other
1604655075000,,0.13,0.69,,
1604721624000,0.17,,0.32,,
1604788406000,1.27,,1.85,,
1604855096000,0.35,,1.07,,
1604921012000,0.55,,0.74,,
1605054181000,0.39,,0.99,,
1605120052000,0.31,,0.66,,
1605187095000,,,0.43,,
1605252569000,,,0.55,0.14,
1605319158000,,,0.62,,
1605385703000,0.35,,0.12,,
1605451285000,,,0.74,,
1605517681000,,,0.23,,
1605650122000,,,0.41,,
1605717149000,,,0.04,,
1605783309000,,,0.08,,
1605849265000,,,0.31,,
