timestamp,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x2D5c570645F1D76526850994d10802C634A35969,​0x5EE9a835411e16D99f062FAE027117b9C0Dc31dc,​0xFFF2dcc0a9C7F917A97D5d2D04d7390BC9fd84aC,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0x383D59840123177199297aa9890930F761e1ea79,​0x442747E725D0e1D1FE46c3635F8E01253b6D1eC7,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,Other
1601053079000,,0.10,0.20,,0.20,0.02,0.26,0.90,
1601120014000,0.20,,,,,,,,
1601255204000,,,,,0.33,,,,
1601459154000,,,,0.05,,,,,
