timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1595002354000,0.15,3.03,
1595068938000,,0.98,
