timestamp,​0xBb60F9F245505F3d132974169BE1c01Aa68F66f7,​0xccEE88812Bea9Ba2820afA1737E25771988D57d1,​0x7c0D2f1EB3dC2Cc21d6118789D26f2Db09311b1d,​0x718DeF6383435d6581159b67c87ebB97b4A8f8a2,​0x0bd72939b7F9Fb4947Fa8F53aBE3C4dc4C67B5EA,​0x3eF5f9b43E0EACDf19E26f8FFb53edEed5659692,​0xFc42811DE7689E32FBab66058d682d1Db1d9Cb9E,​0x792Ed6Df601e4e8863302e7Ef908711F15CB7feD,​0x4cC924c30d8943e8547C052369C2933bB54DDC88,​0x62391b370A4761f7087f83D9d2C8d7bfa91036aB,​0x9B7061023cD42263448d48c48572507F19F39b78,​0xd7c318E9F9129239F6bA4E10994137113dcF6244,​0x97C0d8f4231A4Af9B226854343a8D59830ACc126,​0x2E218a9DbC931A9DE514f52EA9c941d1170555fF,​0x4927c1DD26d0bFE25A352B08fE5Fb847494261fa,​0x05e15f2B6e3BF8eF76d80F0398eB511c9C76f052,​0x84957E6c9F6cCfEd9C35C850c3903732Ed90858a,​0x5763542e5De5f524037B6c90623d00E0D6099BdE,​0x51787a2C56d710c68140bdAdeFD3A98BfF96FeB4,​0x0d8853b7FFBEF323489cf8c2749881374FD246b6,​0x793aCdce9DB7bc3269513652923d543b4818e817,​0x3F86f18322a888d9b3adef38f127c941bCcc014D,​0xca4a5bA3650b6eeCb99E33F81659036c5F7794e7,​0x9792431b26026Cc67117FF610AE4eB34CaCD0755,​0x6fD155b9D52F80E8A73a8A2537268602978486e2,​0x2056E21E416EDd561941cd0E7d055C8Aa6bB87E4,​0xcB5c0D33d92E4910daA24825dB8AF9b64E17C33C,​0xeC780f8d84F98fd79bBa4948Ad1663AB126E7565,​0x8dAAdA22fb588C300E2d00A5FD572d746Dd06CBC,​0x664Fe01207Dc37C84A97A8dCdC28bCc1Da6bEE57,​0x7A97484F57D98a62B0195D79b9600624744dE59C,​0x81Dde1BE69F32e25A3727351A4D12569310a2fE7,​0x003c14AB2E25EA56E6e19c3aAEA5A7443B8d0b50,​0x70e7A6621F4cB3c3E073D0539899F49fC88424C0,​0x06d408B297045985D1784307630a0f9Fc5194DE6,​0x7071B0B4FE2dF3BdbB60fB7089700d3fd174014c,​0x42a60D2f2FfA2150C568010A8D425f0AAD284fd2,​0x121D461EE6F3848Cd8bbF668912a33af3EdE68d6,​0xdCca9dC12dB677820422e7dA2454E622b9fA5907,Other
1594133831000,,,,,,,,,,,,,,,,,,,0.06,,,0.09,,,,,,,,,,,,,,,0.03,,,
1594199176000,,,,,,,,,,,,,,,,,,,0.95,,,,,,0.08,0.57,,,,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,0.22,,,,,,,0.41,,,,,,,,,,,,,,
1594334149000,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,
1594400599000,,,0.95,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,0.13,,,
1594534363000,0.40,0.36,,0.60,,0.20,,3.07,0.30,1.66,,1.21,0.13,0.18,,,0.26,6.28,17.13,,4.41,3.94,,0.15,,,0.30,,0.01,1.26,0.11,0.14,0.78,0.49,,,,0.50,0.57,
1594600559000,,,,1.15,0.35,,,,,,0.24,0.58,0.02,,0.24,0.44,,,,0.45,0.03,,,,,,,1.00,0.06,,,,,,0.23,1.00,,0.68,0.81,0.02
1594667176000,,,,,,,0.18,3.46,,,,0.27,0.04,,0.18,,,,,,,,,,,,,,,,,,,0.61,,,,,,
1594734577000,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594801444000,,0.26,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
1594868516000,,,,,,0.13,,,0.24,,,,,,,,,,,,,,,0.14,,,,,,0.96,,,,,,,,,,0.04
1595135940000,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,
1595202619000,,,,,,,,,,,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,
1595270294000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1595338300000,,,,,,,,,,,,,,,,,0.56,,0.45,0.41,,,0.10,,,,,,,,,,,,,,,,,
