timestamp,​0xCeb45Efb3102eEEa355A78abf54213E4a9aca610,​0x83320Bc47f06D73Ac63e3C3809703529547C1Db0,Other
1576056123000,,,0.01
1576132843000,,,0.01
1576208669000,,,0.13
1576288118000,,,0.01
1576541361000,,,0.60
1576627001000,,,0.50
1576713534000,,,0.54
1576799699000,,,0.21
1576886273000,,,0.02
1576971438000,,,0.02
1577057861000,,,0.33
1577229621000,,,0.18
1577315631000,,,0.15
1577573599000,,,0.08
1579055596000,,,0.38
1579320115000,,,0.85
1579584998000,,7.49,0.02
1579650516000,,6.24,
1579717286000,,5.65,
1579783170000,,11.91,
1579848954000,,16.28,
1579915579000,,19.92,
1579982233000,,20.10,
1580049245000,,20.44,
1580114658000,,20.10,
1580180893000,,20.04,0.18
1580247630000,,19.81,
1580313366000,,18.30,
1580380051000,,19.47,0.11
1580446477000,,17.90,
1580512997000,,18.54,
1580579921000,,16.71,
1580645575000,,18.79,
1580711822000,,19.25,
1580778615000,,17.90,
1580844182000,,17.95,
1580910496000,,24.29,
1580977343000,,9.93,
1581043789000,,18.53,0.05
1581110121000,,20.61,
1581177428000,,27.64,
1581243665000,,23.52,
1581310184000,,22.04,
1581375300000,,18.31,
1581441429000,,10.05,
1581508790000,,14.36,0.75
1581574720000,,11.86,0.00
1581641265000,,14.51,
1581707956000,,11.63,
1581774043000,,4.56,
1581841298000,,23.46,
1581907086000,,26.53,
1581973926000,,27.89,
1582040665000,,25.98,
1582106715000,,19.49,
1582173039000,,23.22,
1582240159000,,16.24,
1582306851000,,25.54,
1582372667000,,26.24,
1582439543000,,26.29,
1582505376000,,25.27,
1582571821000,,26.17,
1582638796000,,0.99,0.95
1582705647000,,28.35,0.42
1582771019000,,32.00,
1582837876000,,31.90,
1582904573000,,29.43,
1582970808000,,33.09,
1583036689000,,30.84,
1583103301000,,32.25,
1583168974000,,31.16,
1583235956000,,30.43,
1583302077000,,31.00,
1583368317000,,31.24,
1583435384000,,23.26,
1583502285000,,29.27,
1583567810000,,16.66,
1583633541000,,13.77,
1583699841000,,31.92,
1583767163000,,35.93,
1583833348000,,33.49,
1583900197000,,32.91,
1583966404000,,34.09,
1584033400000,,12.63,0.18
1584100621000,2.40,12.71,
1584168330000,,39.18,0.19
1584234522000,,34.56,
1584300469000,,33.72,
1584367227000,,36.96,0.14
1584434720000,,40.12,
1584500082000,,34.95,
1584566455000,,36.14,
1584632903000,,33.14,
1584699859000,,28.50,
1584766483000,,35.49,
1584833664000,,15.81,
1584970249000,,11.25,
1585036977000,,34.00,
1585105600000,,34.98,0.13
1585173391000,,33.81,
1585239172000,,32.60,
1585306138000,,20.45,
1585372283000,,32.47,
1585438491000,,34.26,
1585504149000,,33.54,
1585571105000,,35.17,
1585637238000,,33.66,
1585704243000,,33.50,
1585770840000,,34.32,
1585836257000,,15.61,
1585903293000,,26.41,
