timestamp,​0xB0D17D3ec5490e31b71cA342B2A6d0d94C223d2f,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xD83336522e57E8B6C5836b57fA0176384950A728,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1576886273000,,,,,0.15,
1577573599000,,,,,0.03,
1577918935000,,,,,0.02,
1578261907000,,,,,0.01,
1581574720000,,,,,,0.00
1583168974000,,,,,0.04,
1583833348000,,,,,0.02,
1584833664000,,,,,0.02,
1586036191000,,,,,0.02,
1588638430000,,0.02,,,,
1588839881000,,0.07,,0.07,,
1588906152000,,0.73,,0.73,,
1588972800000,,0.20,0.28,0.36,,
1589308656000,0.04,,,,,
1589644333000,,0.46,,0.44,,
