timestamp,​0x753286b69F927986A066717D5a28f9F23267Bc69,​0x97deC872013f6B5fB443861090ad931542878126,​0xe73f3b313f9E204766e3f73af84faC1cf5A4cC9d,​0xda3ACd82436eD4845834904152d8c005eD4dfEd3,​0x04EeA222B3CC6F1F667915E952539eCa8468b3FE,​0xdfE52055db07BfE8d912fb79F71D34019cBff6c9,​0xf56036f6a5D9b9991c209DcbC9C40b2C1cD46540,​0x92ac8A9c4b5975EF70056C82242Eb8515f85ffcE,​0xB49f3426728Cbc8EC3542bD950C2252027154200,​0x20F51adEa3990fC6683dd76ce2d41eeb7fC4cf88,​0xAe38B1E504F5A18Babb9d759814Bb53Bf49a4409,​0x8AcC5677F98b86c407BFA7861f53857430Ba3904,​0xBA98b69a140c078746219D0bBf0bb3b923483374,​0x0a1d45542A6AaC01CceF66d2365b8fdD3532E4cB,​0x3c33334FAb588711A43a571064D00fd31dae97a3,​0x706C67929b834370cf6131275030da72B7fE19f2,​0x034B0bADcD2EEFe029b457C26645F924ecb18A50,​0xBa1A856F68fa76C205B03B087Fd403193C7f6833,​0xF6DC43BA328AffEc2AfeBDA472aC6977200Da957,​0xe4b2459590F8afD8bc09A024e444eb47FAC44893,​0x9A76ad97c58f94C750D36FdB2E0c6Cf76d1f22B0,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0xBb14766b9455C10B2D583427D586954Bce20E703,​0xB488E937beD889d2b4939cb718e37D8583Ded768,​0xc9c156EfA4Cf0709170Bc7c7a7aa5B9f96148541,​0xD1a1824902B6698eE1ACA84d83f22b6d779355f2,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0x7618b84b91747D4ff54Ef147DE712F8d875AeEf3,​0x36Bc3B87Ba6b4636A96aEF8b0058856d05cF5E68,Other
1592393573000,,,0.23,0.10,,,0.20,,0.50,0.39,0.29,0.20,0.20,,0.05,0.02,0.10,,0.38,0.36,0.30,,,,0.08,1.90,0.71,,,
1592460543000,,,,0.10,,,0.16,,0.35,,,,,,0.06,,0.10,,,,,0.96,0.39,,0.05,0.42,,,0.15,0.01
1592527754000,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
1592594022000,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.01,,,
1592727831000,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.04,,,
1592794125000,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592861502000,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,0.20,
1592995513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.09,
1593062546000,0.15,,,,1.13,,,,,,,,,0.12,,,,,,,,,,0.40,,,,,,
1593128647000,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,
1593330837000,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,
1593396882000,,,,,,0.23,,0.16,,,,,,,,,,,,,,,,,,,,,,
