timestamp,​0xa780b1bf3975f49F47b5bBE93AdABDDb017420c9,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0xa136D3F79EC445d749d3905702CaC790C79046E1,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,Other
1582106715000,0.00,,,,,,,
1582638796000,,0.08,0.19,0.43,1.23,0.16,0.07,
1582705647000,0.20,,,,,,,
