timestamp,​0xE23b713BF714E0EA9A319A54a8c3eB0f6687346E,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xe8c816513946907e42764c0d74aa1029EE1a0F6A,​0x8a47cD7A8a2b11294Ba719c0eF856243cAcea5EA,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,​0x0000000000C90bc353314b6911180ED7E06019A9,​0xdf22Ac5D9fEd8d8E67f7D0E0C255D772AEd55191,​0x80265d7e979B911EC55cC930161efE885b75b658,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x022ca32d31da3Ef85922AAFD9aD29C5b2418172C,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x2c9Bd9Db61eCCF16eD766b598bC5e0706c992296,​0xc7fbA841c48e84D26108B494d7BaB4B2697cC278,​0x52DD74D511753B464867D831f78DFcbf05D255d7,​0xce6a65649367a0e5Cb01ecA76169de502700D26c,​0x6d5fe1342745230063BE26117Abb4612d9876Ba5,​0xb21A1aAD487489ACd6d0aC7E9323EEfF9a6BB688,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x498aA5830da490C85Dc4d92B410aAB86edB26c17,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x333A397F93c15d46Cb95FE34245D19Bbb0D677CC,​0x3df2001E2E7CA378Bb6f6B3b1C58b803b0d397C0,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x88dD970bad4af1ec07917C9d4657E7D8946034cf,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,Other
1550015706000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550326685000,,,,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550429585000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550532875000,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550633598000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550735511000,,,,0.10,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551038450000,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551342768000,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551431102000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551568203000,,,,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551703372000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551838168000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552039745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,
1552108151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,0.05
1552175208000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,
1552241652000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552376359000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,
1552443118000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,
1552510965000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,
1552578457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1552645085000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,
1552712032000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,
1552778665000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
