timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1613746375000,,0.49,
1613812701000,,0.44,
1613880066000,0.43,,
1614012304000,0.05,0.01,
1614079671000,,0.70,
1614144701000,0.72,2.06,
