timestamp,​0xd9B7666b1f0A447306b7F6F86335DCEB70e5f5Cb,​0xf7FB07E46a54A0878105C6271B753948E715a962,​0x42b9dF65B219B3dD36FF330A4dD8f327A6Ada990,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x15B5cB8ccD857037573C87A89d7FBa018b8e7271,​0xd47140F6Ab73f6d6B6675Fb1610Bb5E9B5d96FE5,​0x364Bfb413DBb9344A6bD157b741Cf43d59b8B2C1,​0x487c3e0daBC852d14693F073304616a75EB2B041,​0x31Bb711de2e457066c6281f231fb473FC5c2afd3,​0x70171e0d7c4C44E040aD404c9d9134384e866c7d,​0x35d179d1827685cB4CF4b4A51C300151e0E42261,​0xcff6018e23B2BF1Afdc957969690d858677d38E0,​0xF0D78AAC0F62F4338239e00af44498AA910EB8c3,​0x2803D07Ae25151011f9E52137A7726D17eFF04Cb,​0xF1A54342Eb7B7B32e44B8A542Cb976FFA8977BC6,​0xBA333F8ff556bF35D38E102a98dAF1c5F6d9D708,​0xFD6019C8B74ff1F8DE86D13588dbb26F7E901DEE,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,Other
1544405011000,,,,,,,,,0.48,,,,,,,,,,,
1545636119000,,,,,,,,,,,,,,,,,,,0.39,
1546145827000,,,,,,,,,,,,,,,,,,,0.29,
1546513937000,,,,,,,,,,,,,,,,,,,0.20,
1546669576000,,,,,,,,,,,,,,,,,,,0.20,
1551905102000,,,,,,,,,,,,,,,0.02,,,,,
1558842948000,,,,,,,,,,,,,,,,,,,,0.00
1562082973000,,,,,,,,,,,,,,,,,,,,0.00
1564033316000,,,,,,,,,,,,,,,,,,,,0.00
1565710691000,,0.11,,,,,,,,,,,,,,,,,,
1577997589000,,,,,,,,,,,,,,,,,0.04,,,
1579453251000,,,,,,,,,,,,,,0.01,,,,,,
1580247630000,,,,,,,,,,,,,,,,,,,,0.00
1581707956000,,,0.01,,,,,,,,,,,,,,,,,
1582505376000,,,,,,,,,,,,,,,,,,,,0.00
1590316431000,,,,,,,,,,0.07,,,,,,,,,,
1600522839000,,,,,,,,,,,0.02,,,,,,,,,
1601187908000,,,,,,,,,,,,,,,,,,0.01,,
1601728631000,,,,,,,,,,,,0.36,,,,,,,,
1603594450000,0.40,,,,,,,,,,,,,,,,,,,
1604324653000,,,,,,,,,,,,,,,,0.03,,,,
1604523521000,,,,,0.02,,,,,,,,,,,,,,,
1605252569000,,,,,,,,,,,,,,,,,,,,0.00
1605583771000,,,,,,0.01,,,,,,,,,,,,,,
1605717149000,,,,0.00,,,,,,,,,,,,,,,,
1607375492000,,,,0.65,,,,,,,,,,,,,,,,
1607640980000,,,,,,,,,,,,,1.04,,,,,,,
1607708371000,,,,0.79,,,,,,,,,,,,,,,,
1608039974000,,,,0.00,,,,,,,,,,,,,,,,
1608372164000,,,,,,,,0.17,,,,,,,,,,,,
1608902154000,,,,,,,0.07,,,,,,,,,,,,,
