timestamp,​0xe15483e4adfD3131E11d3563c3f17988e7d6A875,​0x24e4a7DaE50b20BD4AF3049054269cfc1F708e71,​0x36Cfd95133A45c4b1DDFd4e9F3c4912CC98CDA6D,​0xC45a9111a30fEE8Ad55d5a5A507DC3baC4027665,​0x9179cA33c3A6E5975B6a00e7bAe9E36DddB2708B,​0x357080e9504fCa2BCfcB9C3E0f73b259880fD119,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xB810eEbACC605f9037934c004C71E3C6cFb902C3,​0x07268537576e4F454876e8b89B545552E96d2197,​0xa1D1A316B9B7aBb1d6Db9bf404AD647D678015E3,​0x9D09546FF50f1d63E62F9FA68487e3D30d4355FD,​0xEB27A4A1A776985a5F2926400529f6d49DE38212,​0xb87C68c6178766E66B418958009C6fD847094d2A,​0xa4875939976fFe1581bb1AAdF5f149aBD4bABeF8,​0xDFBdd1a390380CeB66809E108c012789A60cAe95,​0xde7245952B0fc83f4d098712DEe174fA54DF0e2c,​0xBD8964Facf2813622D7Aa18544185e037700f1Ba,​0xE454e8480d17bafD260481F14cf85F95856f032B,​0x90fdfF26419fB9550A6a55C792B14122E72714DA,​0x5CB442a690327c751D1cf54771a6Cb546E13349b,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x3DB34af203506D92e26F171295b38Ab2dd516149,​0x771B7B09e8d5E8e327B2d5522ed156D242Cb5B27,​0x234d31bfdF40b924068680021fD1184ff502E1bf,​0x959cE1AeDc37d8dF9627925cC34718Ab86e451e4,Other
1585903293000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,
1585969610000,,,0.46,,,,,,,,,,,,,,,,,0.07,,,,,,0.01
1586036191000,,,,,,,,,,,,,,0.37,,0.21,,,0.01,0.01,,,,,,
1586102872000,,,,,,,,,,,,,,0.52,,,,0.20,,,,0.30,,,,
1586169028000,,,,,,,0.02,,,,,,,,,,,,,,,1.00,,,,
1586236183000,,,,,,,,,,,,,,,0.07,,,,,,,,,,,
1586301955000,,,,,,,,,,,,,,,,,,0.27,,,,,,,,
1586434964000,,,,0.10,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
1586568529000,,,,0.12,1.00,,,,,,,,,,,1.00,,,,,,,,,,
1586701369000,,,0.56,,,,,,,,,,,,,,,,,,,,,,,
1586767741000,,,,0.14,,,,,,,,,,,,,,,,,,,,,,
1587033174000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,0.01,,0.27,,,,,,,,,,,,0.10,,,,
1587167698000,,,,,,,,0.01,,,,,,,,,,,,,,,,0.11,1.76,
1587234387000,,,,,,,0.04,0.01,,,0.50,,,,,,1.00,,,,,,,0.23,,
1587300847000,,,0.38,,,1.19,,0.07,,,,,,,,,,,,,,0.50,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,,,,0.09,,
1587434258000,,,,,,,,,,,,,,,,,1.00,,,,,,,0.10,,
1587501138000,,,0.36,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,0.32,,,,,0.01,,,,,,,,,,,,,,,,,,
1587701744000,,,0.34,,,0.56,,0.01,,,,,,,,,1.00,,,,,,,,,
1587768625000,,,0.30,0.07,,,,0.01,,,,,,,,,,,,,,0.67,,,,
1587836062000,,,0.30,,,,,,,,,0.10,,,,,,,,,,,,,,
1587902337000,,,,,,0.60,,,,,,,,,,,,,,,,,,,,
1587969951000,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
1588036978000,,,0.30,,,,,,,,,,,,,,0.60,,,,,,,,,
1588104246000,,0.20,0.31,0.07,,,,,,,,,,,,,0.25,,,,,,,,,
1588237076000,,0.11,0.30,,,,,,,,,,,,,,,,,,,,,,,
1588438821000,,,,,,,,,,,,,,,,,0.25,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1588638430000,,,0.30,,,,,,,,,,,,,,0.25,,,,,,,,,
1588705743000,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
1588771981000,,,,,,,,,0.50,,,,,,,,,,,,0.14,,,,,
1588906152000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588972800000,,,,,,,,,0.20,,,,,,,,,,,,,,,,,
1589308656000,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1589375621000,,,,,,,,0.04,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,,,,,,0.47,,,
1589576701000,0.10,,,,,,,,,,,,0.49,,,,,,,,,,,,,
