timestamp,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x9E23dAa080F6d456Cc7e369023c65e899462e42C,​0x6cd5B7AbA1e610755EA101ae6197F97D4D24BB63,​0x3a3D1Fc99679343535D56374A42b3E96669913fe,​0x00A540a78FaB5d2c16635574388D1128662462f1,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0xFDB2ac5F83F4DCed7E9abFedaE657F3BD480a5ad,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0x93AeF073b3139c26312de0BB1b302609eb3BF5ce,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,Other
1578393679000,,,,,,,,,,,0.00
1581574720000,,,,,,,,,,,0.00
1582904573000,,,,,,,,,,,0.00
1582970808000,,,,0.11,,0.25,,0.07,,,
1583036689000,,,,,,,,,0.00,,
1583103301000,,0.49,,,,,,,,,
1583368317000,,,,0.09,,,,,,,
1583966404000,0.00,,,,,,,,,,
1584500082000,,,,,,,,,,0.04,
1585372283000,,,,,,,,,,0.00,0.00
1585571105000,,,,,,,,,,0.00,
1586568529000,,,,,,,,,,0.00,
1591457899000,,,,,,,,,,,0.00
1592995513000,,,,,0.02,,,,,,
1603728251000,,,0.01,,,,,,,,
1607176193000,,,,,,,0.11,,,,
