timestamp,​0xcc1C292FbC38F83449a93ae627C4FEa0E119506a,​0xFE35D801045592879638D26f74CaEb6B1c4ABaAB,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x29aBbD63aF4A7EaD874D352f23b87cd83E527fd9,​0x81cC71E724035ada9D5078F94bb4FF1F7a1013e0,​0xfbe7F09e8F2E5923954996C50EB90127D849051B,​0x10c198DeA0f3d4a8a2Eb698B71efcF9F8bAf09f0,​0xbcd6859674e42C635f68e37d65E1283332380646,​0x1324c4943d9b6D011EF865B20D48E5AF19596369,​0x16147566606BC4Bb1a0081E96BF6aD0Bb9eb8E5D,​0x1c3B740EFdCD2ca9372E11bBB24294C866F0daec,​0x6e2911734311644ceb22f5bde4FA3d04b223A737,​0xef52868452A19d3ddCdb1F9938365981EEC734eB,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xb146907392eD12031F7715B0376833E3f7C5b98c,Other
1551838168000,,,,,,,,,,,,,,,,0.01
1554867921000,,,,,,,,,,,,,,,,0.01
1561073016000,,,,,,,,,,,,,,,,0.02
1561140851000,,,,,,,,,,,,,,,,0.00
1561275287000,,,,,,,,,,,,,,,,0.00
1572546064000,,,,,,,0.57,,,,,,,,,0.01
1572822749000,,,,,,,,0.21,,,,,,,,
1573031855000,,1.20,,,,,,,,,,,,,,
1573598526000,,5.00,,,,,,,,0.73,1.15,,,,,
1573670409000,,,,,,,,,,,,,1.13,,,
1574248216000,,,,0.85,,,,,,,,,,,,
1574906610000,5.31,,0.13,,,,,,,,,2.35,,,0.14,
1575059347000,,,,,,,,,1.60,,,,,,,0.00
1576799699000,,,,,4.76,,,,,,,,,,,
1577229621000,,12.00,,,,,,,,,,,,28.63,,
1577488582000,,,,,,0.88,,,,,,,,,,0.00
1579320115000,,,,,,,,,,,,,,,,0.00
