timestamp,​0x8dDDde2F6094ce6b365eb186AAaFE22af3b137F5,​0x2376d9096A516113Ac309a7ec8b0471cddf116aa,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0xeA8DB129cb06ABA34DAA3004f1b47110ceaE2A06,​0x97deC872013f6B5fB443861090ad931542878126,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x0BD1454fa01dD11bF6646BF8bc17a3E48Fda3734,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x782eae1B3b856605899FbaFDe967506F5Ca170ae,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x34A2fCE349311114317353ab4B798fa11cCfef57,Other
1584434720000,8.01,44.10,6.80,,,,22.09,,0.54,3.47,2.12,,,,,
1584500082000,,10.00,,,,,,,,2.03,,,,,,
1584632903000,,,,,,,,,,,,,0.20,,,
1584766483000,,,,,12.91,,,,,0.11,,,,,,
1584833664000,,2.99,,,,,,,,0.29,,,,,,
1584902413000,,,,1.00,,,,,,,,,,,,
1585173391000,,,,,,,,,,,,,,,,0.01
1586169028000,,9.16,1.43,,,,,,,,,,,0.75,,
1586301955000,,,,0.03,,,,,,,,,,,,0.03
1587501138000,,,,,,0.58,,,,,,,,,,
1587701744000,,,,,,,,0.58,,,,,,,,0.02
1587768625000,,,,,,0.64,,,,,,,,,0.21,0.01
1587836062000,,,,,,,,,,,,,,,,0.03
1588036978000,,,,,,,,,,,,,,,,0.02
1588170340000,,,,,,,,,,,,,,,0.21,
1588305064000,,,,,,,,,,,,,,,,0.02
1588506516000,,,,,,,,,,,,,,,,0.00
1588771981000,,,,,,,,,,,,,,,,0.01
1589040204000,,,,,,,,,,,,0.18,,,,
1589442351000,,,,,,,,,,,,,,,,0.05
