timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,Other
1593800162000,0.68,,0.20,
1593866326000,0.42,0.04,,
1594000010000,0.05,,,
1594067228000,0.13,,,
1594133831000,0.02,,,
