timestamp,​0xf58EAAcB2861d69759e86F1a678a0F245eFCE136,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xc7fbA841c48e84D26108B494d7BaB4B2697cC278,​0x9058a8405d7f232372a068e7d35BD419115d047c,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xe93106c68c57BFa2aA9ef6584927d06D12f21089,​0x2024bB490824704168eDC96889A1F70DC93793F9,​0x25957cA1023882e678129406c8dAD16d746957E2,Other
1558910067000,,,,,,,,,,,,,,,,,0.00
1561073016000,,,,,,,,,,,,,,,,,0.00
1564772699000,,,,,,,,,,,0.08,,,,,,
1565106699000,,,,,,,,,,,,,,0.50,,,
1573814675000,,,,,,,,,,,,,,,,,0.00
1576208669000,,,2.01,,,,,,,,,,,,,0.57,
1576456679000,,,,,,,,,,,,,,,0.12,,
1576541361000,,,,,,,,,,,,,,,0.12,,
1576627001000,,1.22,,,,,,,,,,,,,,0.90,
1576713534000,0.20,0.67,,,,0.23,,,,,,,,,,,
1576886273000,0.29,,,,0.06,,,,,0.22,,,,,,,
1576971438000,0.63,,,,0.03,,,,,,,,,,,,
1577143907000,,,,,,,,,,0.13,,,,,,,
1577488582000,,,1.52,,1.80,,,,,0.14,,,,,,,
1577573599000,,,1.00,,,,,,,1.81,,,,,,,
1577746179000,,,,,,,,,,0.49,,,,,,,
1577832303000,,,,,,,,,,0.36,,,,,,,
1577997589000,0.50,,,,,,,,,0.50,,,,,,,
1578129566000,0.03,,,,,,,,,,,,,,,,
1578195701000,,,,0.21,,,,,,0.36,,,,,,,
1578327837000,,,,,0.21,,,,,0.58,,,,,,,
1578459841000,,,,,,,,,,,,,,,,0.28,
1578526345000,,,,,,,,,,0.34,,,,,,0.25,
1578592894000,,,,,,,,,,0.15,,,,,,,
1578724741000,,,,,0.04,,,,,,,,,,,,
1578790822000,,,,,,,,,,0.14,,,,,0.03,,
1578857025000,,,,,,,,,,,,,,,0.12,,
1579055596000,,,,,,,,,,0.37,,,,,,1.14,
1579122050000,,,,,,,,,,1.09,,,,,,,
1579188604000,,,,,,,,,,0.64,,,,,,,
1579254375000,,,,,,,,,,0.52,,,,,,,
1579386588000,,,,,,,,,,4.80,,,,,,,
1579453251000,,,,,,,,,,1.57,,,,,0.08,,
1579518909000,,,,,,,,,,1.75,,,,,,,
1579584998000,,,,,,,,,,,,,,,,1.00,0.00
1579717286000,,,,,,,0.14,,,4.37,,,,,,,
1579783170000,,,,1.19,,,,,,0.95,,,,,,,
1579915579000,,,,,,,,,,0.93,,,,,,,
1580114658000,,,,,,0.49,,,,2.09,,,2.00,,,,
1580180893000,0.53,,,,0.10,,,,,,,0.23,,,,,
1580313366000,,,,,,,,0.23,0.22,3.83,,,1.50,,,,
1580380051000,,,,,,,,,,1.96,,,,,,,
1580446477000,,,,,,,,,,,,,,,,0.98,
1580512997000,,,,1.89,,,,,,,,,,,,1.02,
1580579921000,,,,,,,,,,1.21,,,,,,,
1580711822000,,,,,,,,,,2.13,,,1.00,,,,
