timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x0E51631F1E21bD22C591de48B273dF6139D89Ea7,​0xaF59F759fb7817299002C5FF093d12037a248084,​0x6e28baA6D9716ecC7731F24f3F1db2e55EE3Ef26,​0x63a23eF10b23b1B62e574441a5706A9fdD7B8DEb,​0x0c743384C573BE351b8A65bE9dF584Cd7FEefcd6,​0x7eCb3dFDe91138389dF30227Aae461C80319A1f6,​0x1016a55D75632b93a0a8CFdf3704e39487B5a056,​0xd1D090629668DD1dc1B70DED1D9Ce64740Be7515,​0x2bA117929C3c53ac7C38AD870321573c740Cf139,​0xf0fCC96D0BaAAA5D35B1465396a1A7f80Cc0b03d,​0x7cfab87AaC0899c093235b342AC0e5B1ACF159EB,​0x47F7EA0dd4418AA1cec00786F5C47623aC37bA42,​0x662d5d79849113A5403Af776210307a7c82a5267,​0x90aCd8833171Dd2A6b32922613E6075f482d7C6e,​0x533642E4ee52dcc13e95A4bF9210505d1Fa025c2,​0x9f0574a5F28779A1A682cFE4bbD090ee058d07AA,​0x97deC872013f6B5fB443861090ad931542878126,​0x70C0F6653501A282D1106b42c38BfaD00e7294ea,​0x0D0ACA99686fcEd8e6FB39134AaeD96F09b5283c,​0x7b0C55B1706A2839a9F9C95d094F7826E9A00eED,​0xD67c34169b372d5B3932c548a940D4Ea74Fe7aF5,​0x20a372F22493279F89526A1F5D525D6c6b4AbeeA,​0xA70833dB418Ac9d27155fBc41639b2fB3762811C,​0xaBC7eba2d69EBe231441bBebB3489eEf3B6aE4e9,​0x9Bf87ed3d81B03221Df7f14A270Ae7E5801bE058,​0xc6b07E62a00D2CD7b4EA0fEaD74D6426bCdb30a2,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xFf06A94E171fe7f29C4635B89756e59E66F9eBd8,​0x6Fa8a68d17a3ce83a6E7ADdC7686B0f5c4DB3396,​0x71232EAd3BeC1AC03eCfE2556acd6c7D0bD349C7,​0x6cEE3307a80Ac214D6003D736845b0944d49e666,​0x3F03e2D908bb5026a772469E75eA51846dbbfd9A,​0x5B80FB19b6758D7753a0079B6a87712a4869ac6F,​0x339dD90e14Ec35D2F74Ffea7495c2FB0150AF2Ba,​0x12909009D651D40D6ae00B150db3107BC5654603,​0x6f454FA5C8c9dC56209f6f5D4c7dF32c735C4946,Other
1588572377000,,,,,,,,,,0.06,,,,,,,,,,,,,0.01,,,,,,,,0.10,,0.08,,,,,
1588638430000,0.02,,,,,,,,0.02,,,0.06,,,,,,,0.05,0.50,,,,0.07,,,,,,0.08,0.10,0.01,,,,,,0.00
1588705743000,,0.14,,,,,,,,0.06,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,
1588771981000,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588972800000,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,0.00
1589040204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1590047677000,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1590181994000,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590383553000,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,
1590451139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
1590517845000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1590719602000,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,
1591524138000,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591725334000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,
1592060020000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1594334149000,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1594534363000,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,
1594600559000,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595002354000,,,,0.10,,,0.02,,0.03,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.02,,,0.14,
1595068938000,,,0.02,,,,,,,,,,,,,0.10,,,,,,,,,,0.02,,,0.17,,,,,,,,,
