timestamp,​0x44E9d011DF8741Be2493E99297E9ad67bb1aa85B,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0xad9C31757aB2F8C4247fa3Bb578946DbFAdb1c3a,​0xFb219617Fd741a1df5292225Aad7269223e2f7b7,​0x2D5c570645F1D76526850994d10802C634A35969,​0x6fD155b9D52F80E8A73a8A2537268602978486e2,​0x12A86b7703863085c0002082b3374519CF048Bc9,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,Other
1600852525000,0.47,,,,,,,,
1601053079000,,,,,0.10,,,0.30,
1601120014000,,0.20,,,,,,,
1601187908000,,,,,,,1.61,0.48,
1601323528000,,,,,,,0.49,,
1601931072000,,0.18,,0.09,,,,,
1602469107000,,,1.71,,,,,,
1602732764000,,,,,,0.14,,,
