timestamp,​0xFe42527C921C1F3af4f194Ed227FaA0EcE4Ebf76,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,Other
1581907086000,,0.45,
1582240159000,,0.19,
1582306851000,0.01,,
