timestamp,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xC06216a1D7CA6e54592dDD189F10E1aC9FA1ed4F,​0x559a87F9d51a0C0F8cA99Cc230d8D98B1CF24347,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xdDdF55A2cf6117D446D5770dae15Fe10120c4dE0,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x00aDa5bf8Ef794fDD916BdC06e032ac1613DFfA3,​0x6b5E7ec2C4440331A1458EdB021d6944FdAE530a,​0x2024bB490824704168eDC96889A1F70DC93793F9,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xB673eC8881303EEe7A9cfb6C2643c9c66eAc935A,​0x4141F89a6e72213D993b25524003740bf795976C,​0xa78ce1ABAd10f312A30faaDC91f3A5e072a4424D,Other
1575212493000,0.11,,,,,,,,,,,,,,,,,
1575596839000,,,,,,,,,,,,,,,,,,0.00
1579453251000,,0.05,,,,,,,,,,,,,,,,
1579915579000,,,,,,,,,,,0.02,,,,,,,
1580180893000,,,,,0.01,,,,,,0.03,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,0.00
1581774043000,,,,,0.03,,,,,,,,,,,,,
1582240159000,,,,,,,,0.11,,,,,,,,,,
1582638796000,,,,,,,,,,,,,,,,,,0.00
1582705647000,,,,,,,,,,,,,,,,,,0.00
1583235956000,,,,,,,,,,,,,,,,,,0.00
1583302077000,,,,,,,,,0.06,,,,,,,,,
1583368317000,,,,,,,,,,,,,,0.30,,,,
1583567810000,,,,,0.06,,,,,,,,,,,,,
1584434720000,,,0.00,,,,,,,,,,,,,,,
1584632903000,,,,0.31,,,,,,,,0.19,,,,,,
1584699859000,,,,,,0.05,,,,,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,0.03,,
1584970249000,,,,,,,,,,0.00,,0.21,,,,,,
1586501245000,,,,,,,,,,,,0.13,,,,,,
1586701369000,,,,,,,0.01,,,,,,,,,,,
1588036978000,,,,,,,,,,,,,,,0.06,,,
1588371539000,,,,,,,,,,,,,,,,,0.03,
1588972800000,,,,,,,,,,,,,0.29,,,,,
