timestamp,​0x73FA9Df99faaa8D110c5AFd917355ebA0f993362,​0xB539f77571f3DA762101d4DCF80565A61be2E434,Other
1582306851000,3.34,1.46,
1582372667000,0.88,,
1582705647000,0.59,,
1584367227000,2.56,,
1585637238000,0.79,,
