timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x97deC872013f6B5fB443861090ad931542878126,Other
1606380252000,4.14,,,
1606446290000,2.48,,,
1606513752000,6.11,,,
1606579323000,2.38,,,
1606644580000,2.56,,0.61,
1606711814000,0.79,,,
1606777403000,0.45,,,
1606843839000,0.24,,,
1606911253000,0.35,,,
1606976748000,0.67,,,
1607043153000,0.29,,,
1607109266000,0.66,,,
1607176193000,2.99,,1.24,
1607441996000,3.48,,,
1607508150000,0.67,,,
1607573702000,0.35,,,
1607774843000,0.45,,,
1607840923000,1.34,,,
1607907786000,0.21,,,
1608106809000,0.29,,,
1608172715000,0.68,,,
1608239436000,0.32,,,
1608305426000,0.38,0.18,,
1608372164000,0.19,,,
