timestamp,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x95edbaB22357d202E63B77Eb12C934F398b4faf1,​0x1502a39844A21d91904c8343c7BBc8213B111AD3,​0x21fB8e54a34F462C3642b5DC3e529206fDf7b324,​0x2eD6C6C921eB1931a44A95F11404DDc2d24b0F27,​0xaA5586F16Fc3fACaCa47aeC570C26462EDEB1d2f,​0xBbf8364c0Bd8a6DDba1399f3C065DB0f5bC535C9,​0x32A17AE3D6684105aCb39e0c33699FC398a9522e,​0x89e2aeBC454556f60F2b6FacD1746bCb58F0b4F3,​0xA779876ca0d66565c5B73484eA4Fc67745D05Ee0,​0x18cb1714729E9bf9D2373C990a6316Cb52Bba1f7,Other
1566246801000,,,,,,,,0.00,,,,0.00
1566314677000,,,,,,,,0.00,,,,0.01
1566381517000,,,,,,,,0.01,,,,
1566516026000,,,,,,,,0.01,,,,
1566583035000,,,,,,,,0.01,,,,
1566649948000,,,,,,,,0.00,,,,
1566717936000,,,,,,,,0.01,,,,
1566784085000,,,,,,,,0.01,,,,
1566851133000,,,,,,,,0.01,,,,
1567120257000,,,,,,,,0.58,,,,
1567187642000,,,,,,,,0.00,,,,0.00
1567255013000,,,,,,,0.14,0.00,,,,0.01
1567321929000,,,,,,,0.03,,,,,
1567457291000,,,,,,,,0.00,,,,
1567524520000,,,,,,,0.01,,,,,0.01
1567658685000,,,,,,,0.07,0.00,,,,0.00
1567794373000,0.08,,,,,,,0.75,,,,0.00
1567928417000,,,,,,,0.09,,,,,
1567996252000,,,,,,,0.16,,,,,
1568063465000,,,,,,,0.01,,,,,
1568603177000,,,,,,,0.15,0.05,,,,
1568737700000,,,,,,,,0.01,,,,
1569006694000,,,,,,,,0.01,,,,
1569142150000,,,,,,,,0.01,,,,
1570492273000,,,,,,,0.08,,,,,
1573598526000,,0.43,,,,,,,,,,
1575366165000,0.14,,,,,,,,,2.00,,
1577143907000,,,,,,,0.01,,,,,
1579320115000,,,,,,,,,,,,0.00
1580910496000,,,,,,,0.03,,,,,
1581574720000,,,,,,,,,,,,0.00
1587033174000,,,,,,,,,,,0.12,
1591054955000,0.16,,14.12,0.80,,0.40,,,,,,
1591122115000,,,,0.10,,0.23,,,0.20,,,
1591457899000,,,,,,,,,,,,0.00
1594467342000,,,,,0.06,,,0.07,,,,
