timestamp,​0x9E0a6A354b01e145392bA7Cf0FfFb44E2698B748,​0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E,​0x8B7adc43153bCfAe98AB20ce9ffF23331F542387,​0x99646e4e2b11aCb6D62DA4e722afa211E78D708b,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0xceD6F3C4e59e99DE99cE69a9259e5D329f5A1a47,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0x2D5c570645F1D76526850994d10802C634A35969,​0x1a78a8Cd7498535745DD9730f8029189815bC157,​0x3F25D13e9eFb7af99a9Bc11D8151c329c021a606,​0xeDf3C015a608Ee7dB0D205F60A1641B026515B59,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,​0xe8D33722480712c945614048b4C4CbCd74C820a2,​0xb7f78106935607d2003aC997894C8271173EBFeB,​0x94f939704e811d9E65Fc57D11C836C4809CD116c,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x975C86B5d1f0c1A68B7088677eDBE53c1ef92C48,​0x50aA3eaeFDBeC5Fe1fba5B419B77126475188691,​0xCd4fEc10C8Ad4873e209062B31DEFb684FF8cb7c,Other
1600323285000,0.12,0.18,,,,,,,,,,,,,,,,,,
1601053079000,,,,,0.20,1.83,,0.10,0.22,0.10,,1.16,0.14,,,,0.10,0.17,,
1601120014000,,,,,,,0.15,,,,0.10,,,0.02,,0.20,,,,
1601187908000,,,,,0.27,,,,,,,,,,,,,,,
1601255204000,,,0.04,,,,,,,,,,,,,,,,,
1601323528000,,,,,,,,,,,,,0.11,,,,0.04,,,
1601390741000,,,,,,,,,,,,,,,,,,,0.58,
1601592730000,,,,0.07,,,,,,,,,,,,,,,,
1601660827000,,,,,,,,,,,,,,,0.14,,,,,
1601931072000,,,,,,,,,,,,,,,,0.13,,,,
